,Kernel,Kernel_iterations,num_cuda_streams,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,19273737,77,8,original,,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,19233387,78,8,original,,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,19246114,78,8,original,,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,19229324,78,8,original,,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,19246929,78,8,original,,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,19232728,78,8,original,,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,19252951,78,8,original,,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,19235488,78,8,original,,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
8,19248094,78,8,original,,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
9,19240977,78,8,original,,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
0,55470487,27,8,original,,32_32_128_128,262144,32,32,1024,128,128,128x128,n_to_m_saturated
1,55488813,28,8,original,,32_32_128_128,262144,32,32,1024,128,128,128x128,n_to_m_saturated
2,55527686,27,8,original,,32_32_128_128,262144,32,32,1024,128,128,128x128,n_to_m_saturated
3,55501788,27,8,original,,32_32_128_128,262144,32,32,1024,128,128,128x128,n_to_m_saturated
4,55520607,27,8,original,,32_32_128_128,262144,32,32,1024,128,128,128x128,n_to_m_saturated
5,55610967,27,8,original,,32_32_128_128,262144,32,32,1024,128,128,128x128,n_to_m_saturated
6,55537412,28,8,original,,32_32_128_128,262144,32,32,1024,128,128,128x128,n_to_m_saturated
7,55461948,28,8,original,,32_32_128_128,262144,32,32,1024,128,128,128x128,n_to_m_saturated
8,55486390,28,8,original,,32_32_128_128,262144,32,32,1024,128,128,128x128,n_to_m_saturated
9,55494055,28,8,original,,32_32_128_128,262144,32,32,1024,128,128,128x128,n_to_m_saturated
0,275969007,6,8,original,,64_64_128_128,1048576,64,64,4096,128,128,128x128,n_to_m_saturated
1,276882471,6,8,original,,64_64_128_128,1048576,64,64,4096,128,128,128x128,n_to_m_saturated
2,277420037,6,8,original,,64_64_128_128,1048576,64,64,4096,128,128,128x128,n_to_m_saturated
3,277008761,6,8,original,,64_64_128_128,1048576,64,64,4096,128,128,128x128,n_to_m_saturated
4,277602777,6,8,original,,64_64_128_128,1048576,64,64,4096,128,128,128x128,n_to_m_saturated
5,277061901,6,8,original,,64_64_128_128,1048576,64,64,4096,128,128,128x128,n_to_m_saturated
6,276332821,6,8,original,,64_64_128_128,1048576,64,64,4096,128,128,128x128,n_to_m_saturated
7,281872367,6,8,original,,64_64_128_128,1048576,64,64,4096,128,128,128x128,n_to_m_saturated
8,275711083,6,8,original,,64_64_128_128,1048576,64,64,4096,128,128,128x128,n_to_m_saturated
9,275902682,6,8,original,,64_64_128_128,1048576,64,64,4096,128,128,128x128,n_to_m_saturated
0,3513749768,1,8,original,,128_128_128_128,4194304,128,128,16384,128,128,128x128,n_to_m_saturated
1,3528704181,1,8,original,,128_128_128_128,4194304,128,128,16384,128,128,128x128,n_to_m_saturated
2,3515099611,1,8,original,,128_128_128_128,4194304,128,128,16384,128,128,128x128,n_to_m_saturated
3,3495560810,1,8,original,,128_128_128_128,4194304,128,128,16384,128,128,128x128,n_to_m_saturated
4,3525553933,1,8,original,,128_128_128_128,4194304,128,128,16384,128,128,128x128,n_to_m_saturated
5,3482056572,1,8,original,,128_128_128_128,4194304,128,128,16384,128,128,128x128,n_to_m_saturated
6,3535992911,1,8,original,,128_128_128_128,4194304,128,128,16384,128,128,128x128,n_to_m_saturated
7,3516911102,1,8,original,,128_128_128_128,4194304,128,128,16384,128,128,128x128,n_to_m_saturated
8,3535374555,1,8,original,,128_128_128_128,4194304,128,128,16384,128,128,128x128,n_to_m_saturated
9,3563006825,1,8,original,,128_128_128_128,4194304,128,128,16384,128,128,128x128,n_to_m_saturated
0,50920627891,1,8,original,,256_256_128_128,16777216,256,256,65536,128,128,128x128,n_to_m_saturated
1,55854401329,1,8,original,,256_256_128_128,16777216,256,256,65536,128,128,128x128,n_to_m_saturated
2,57348148838,1,8,original,,256_256_128_128,16777216,256,256,65536,128,128,128x128,n_to_m_saturated
3,57638851125,1,8,original,,256_256_128_128,16777216,256,256,65536,128,128,128x128,n_to_m_saturated
4,56102515836,1,8,original,,256_256_128_128,16777216,256,256,65536,128,128,128x128,n_to_m_saturated
5,56203120581,1,8,original,,256_256_128_128,16777216,256,256,65536,128,128,128x128,n_to_m_saturated
6,56754199596,1,8,original,,256_256_128_128,16777216,256,256,65536,128,128,128x128,n_to_m_saturated
7,58230367145,1,8,original,,256_256_128_128,16777216,256,256,65536,128,128,128x128,n_to_m_saturated
8,58024824586,1,8,original,,256_256_128_128,16777216,256,256,65536,128,128,128x128,n_to_m_saturated
9,58530731187,1,8,original,,256_256_128_128,16777216,256,256,65536,128,128,128x128,n_to_m_saturated
