,Forward FFT,Forward FFT_iterations,Hadamard,Hadamard_iterations,Inverse FFT,Inverse FFT_iterations,Allocation,Allocation_iterations,Plan,Plan_iterations,hadamard_threads_per_block,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,20555,10000,37878,3958,18983,10000,218301,1,12513009,1,256,fft,,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
1,20506,10000,37880,3956,18989,10000,202908,1,3888915,1,256,fft,,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
2,20550,10000,37875,3956,18978,10000,204270,1,3813331,1,256,fft,,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
3,20512,10000,37876,3957,18986,10000,205782,1,3819520,1,256,fft,,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
4,20516,10000,37875,3955,18977,10000,208626,1,3712398,1,256,fft,,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
5,20509,10000,37879,3956,18991,10000,200654,1,3785409,1,256,fft,,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
6,20549,10000,37877,3958,18976,10000,205731,1,3662163,1,256,fft,,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
7,20508,10000,37882,3954,18990,10000,205441,1,3900514,1,256,fft,,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
8,20549,10000,37875,3957,18989,10000,209848,1,3848835,1,256,fft,,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
9,20547,10000,37879,3955,18991,10000,203007,1,4013334,1,256,fft,,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
0,67484,10000,42889,2702,71220,10000,280294,1,12297172,1,256,fft,,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
1,72164,10000,43282,2659,71230,10000,270970,1,3777017,1,256,fft,,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
2,71988,10000,43698,2619,71251,10000,273143,1,3998872,1,256,fft,,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
3,72666,10000,43784,2600,71230,10000,280805,1,3917279,1,256,fft,,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
4,73131,10000,43673,2621,71244,10000,271371,1,4006684,1,256,fft,,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
