,Kernel,Kernel_iterations,warps_per_thread_block,right_matrices_per_thread,rows_per_thread,distribution_type,num_cuda_streams,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,384696,390,4,1,1,none,20,multimat-right,4_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
1,384823,390,4,1,1,none,20,multimat-right,4_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
2,384852,390,4,1,1,none,20,multimat-right,4_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
3,384829,390,4,1,1,none,20,multimat-right,4_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
4,384203,391,4,1,1,none,20,multimat-right,4_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
5,384155,391,4,1,1,none,20,multimat-right,4_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
6,384232,391,4,1,1,none,20,multimat-right,4_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
7,384111,391,4,1,1,none,20,multimat-right,4_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
8,384210,391,4,1,1,none,20,multimat-right,4_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
9,384192,391,4,1,1,none,20,multimat-right,4_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
0,271559,553,4,2,1,none,20,multimat-right,4_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
1,271571,552,4,2,1,none,20,multimat-right,4_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
2,271867,553,4,2,1,none,20,multimat-right,4_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
3,273017,550,4,2,1,none,20,multimat-right,4_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
4,272214,549,4,2,1,none,20,multimat-right,4_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
5,273326,549,4,2,1,none,20,multimat-right,4_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
6,273478,547,4,2,1,none,20,multimat-right,4_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
7,273058,548,4,2,1,none,20,multimat-right,4_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
8,273076,550,4,2,1,none,20,multimat-right,4_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
9,272992,550,4,2,1,none,20,multimat-right,4_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
0,219470,685,4,4,1,none,20,multimat-right,4_4,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
1,219521,683,4,4,1,none,20,multimat-right,4_4,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
2,219388,684,4,4,1,none,20,multimat-right,4_4,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
3,219569,685,4,4,1,none,20,multimat-right,4_4,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
4,219463,684,4,4,1,none,20,multimat-right,4_4,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
5,219469,684,4,4,1,none,20,multimat-right,4_4,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
6,219499,682,4,4,1,none,20,multimat-right,4_4,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
7,219458,684,4,4,1,none,20,multimat-right,4_4,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
8,219426,683,4,4,1,none,20,multimat-right,4_4,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
9,219530,682,4,4,1,none,20,multimat-right,4_4,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
0,205235,732,4,8,1,none,20,multimat-right,4_8,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
1,205849,730,4,8,1,none,20,multimat-right,4_8,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
2,205424,731,4,8,1,none,20,multimat-right,4_8,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
3,205605,732,4,8,1,none,20,multimat-right,4_8,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
4,205580,732,4,8,1,none,20,multimat-right,4_8,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
5,205257,731,4,8,1,none,20,multimat-right,4_8,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
6,205520,730,4,8,1,none,20,multimat-right,4_8,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
7,205515,731,4,8,1,none,20,multimat-right,4_8,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
8,205505,731,4,8,1,none,20,multimat-right,4_8,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
9,205530,729,4,8,1,none,20,multimat-right,4_8,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
0,386484,389,8,1,1,none,20,multimat-right,8_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
1,386556,389,8,1,1,none,20,multimat-right,8_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
2,386529,389,8,1,1,none,20,multimat-right,8_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
3,386528,388,8,1,1,none,20,multimat-right,8_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
4,386531,388,8,1,1,none,20,multimat-right,8_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
5,386498,389,8,1,1,none,20,multimat-right,8_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
6,386542,389,8,1,1,none,20,multimat-right,8_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
7,386525,389,8,1,1,none,20,multimat-right,8_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
8,386614,389,8,1,1,none,20,multimat-right,8_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
9,386535,388,8,1,1,none,20,multimat-right,8_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
0,276260,543,8,2,1,none,20,multimat-right,8_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
1,276217,543,8,2,1,none,20,multimat-right,8_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
2,276326,543,8,2,1,none,20,multimat-right,8_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
3,276126,543,8,2,1,none,20,multimat-right,8_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
4,276363,543,8,2,1,none,20,multimat-right,8_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
5,276441,542,8,2,1,none,20,multimat-right,8_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
6,276278,543,8,2,1,none,20,multimat-right,8_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
7,276309,544,8,2,1,none,20,multimat-right,8_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
8,276174,543,8,2,1,none,20,multimat-right,8_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
9,276089,543,8,2,1,none,20,multimat-right,8_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
