,Kernel,Kernel_iterations,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,2479650,56,original,,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
1,2540405,59,original,,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
2,2496802,60,original,,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
3,2538582,59,original,,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
4,2498422,61,original,,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
5,2537710,60,original,,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
6,2498474,60,original,,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
7,2539745,59,original,,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
8,2496955,60,original,,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
9,2541290,59,original,,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
0,8706932,17,original,,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
1,8655587,18,original,,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
2,8705820,18,original,,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
3,8656668,18,original,,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
4,8621949,18,original,,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
5,8666436,18,original,,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
6,8659802,18,original,,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
7,8647167,18,original,,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
8,8652174,18,original,,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
9,8647438,18,original,,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
0,49265918,4,original,,64_64_10_2560,10526720,64,64,4096,10,2560,10x2560,n_to_mn_saturated
