,Forward FFT,Forward FFT_iterations,Hadamard,Hadamard_iterations,Inverse FFT,Inverse FFT_iterations,Allocation,Allocation_iterations,Plan,Plan_iterations,hadamard_threads_per_block,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,5252,29957,1710,87778,4836,32541,77367,1,12035738,1,256,fft,,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
1,5205,30223,1696,88101,4835,32547,102205,1,4009018,1,256,fft,,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
2,5205,30226,1696,87527,4836,32551,99721,1,4150823,1,256,fft,,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
3,5205,30224,1696,87438,4903,32104,105139,1,4198465,1,256,fft,,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
4,5288,29714,1710,88022,4835,32546,98529,1,3425775,1,256,fft,,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
5,5204,30225,1696,88164,4903,32107,99050,1,3582092,1,256,fft,,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
6,5256,29883,1695,88184,4834,32550,96626,1,3930440,1,256,fft,,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
7,5205,30224,1695,87549,4834,32548,103617,1,4086746,1,256,fft,,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
8,5205,30224,1695,87506,4903,32105,99631,1,3574200,1,256,fft,,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
9,5279,29775,1709,87012,4834,32558,98760,1,3946803,1,256,fft,,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,5435,28908,2597,57758,5031,31273,78328,1,10708809,1,256,fft,,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
1,5507,28566,2597,57762,5054,31137,103687,1,4253618,1,256,fft,,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
2,5489,28717,2597,57758,5031,31283,99421,1,4208810,1,256,fft,,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
3,5507,28568,2597,57760,5054,31137,100342,1,4271466,1,256,fft,,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
4,5454,28814,2597,57758,5029,31288,98810,1,4438538,1,256,fft,,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
5,5507,28565,2597,57753,5030,31298,98589,1,3662734,1,256,fft,,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
6,5507,28568,2597,57751,5031,31275,101393,1,3990660,1,256,fft,,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
7,5507,28568,2597,57760,5054,31137,99060,1,4271996,1,256,fft,,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
8,5463,28823,2597,57760,5028,31298,98889,1,3482081,1,256,fft,,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
9,5507,28565,2597,57762,5054,31140,107192,1,4259618,1,256,fft,,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,4605,34195,1817,82055,4467,35251,77557,1,12376864,1,256,fft,,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
1,4614,34101,1821,82499,4472,35224,100352,1,3947125,1,256,fft,,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
2,4629,34038,1816,82573,4455,35339,97778,1,3995618,1,256,fft,,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
3,4615,34116,1819,82467,4453,35358,96095,1,3149858,1,256,fft,,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
4,4615,34134,1816,82835,4456,35335,96596,1,3550334,1,256,fft,,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
5,4608,34156,1819,82559,4452,35365,100292,1,4341622,1,256,fft,,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
6,4628,34088,1817,82723,4452,35366,99510,1,3976409,1,256,fft,,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
7,4629,34079,1815,82583,4455,35351,97137,1,4095890,1,256,fft,,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
8,4608,34173,1814,82643,4454,35349,98339,1,4210233,1,256,fft,,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
9,4608,34160,1818,82718,4450,35379,98409,1,4434262,1,256,fft,,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,5477,28709,5869,25566,5053,31145,80061,1,10865106,1,256,fft,,16_16_1_32,8448,16,16,256,1,32,1x32,one_to_many
1,5508,28556,5872,25523,5052,31142,99882,1,4281330,1,256,fft,,16_16_1_32,8448,16,16,256,1,32,1x32,one_to_many
2,5508,28557,5878,25639,5053,31141,97167,1,3900775,1,256,fft,,16_16_1_32,8448,16,16,256,1,32,1x32,one_to_many
3,5508,28561,5867,25544,5054,31129,98048,1,4225335,1,256,fft,,16_16_1_32,8448,16,16,256,1,32,1x32,one_to_many
4,5489,28672,5873,25543,5055,31130,94743,1,4231906,1,256,fft,,16_16_1_32,8448,16,16,256,1,32,1x32,one_to_many
5,5493,28652,5872,25530,5053,31142,98539,1,4031242,1,256,fft,,16_16_1_32,8448,16,16,256,1,32,1x32,one_to_many
6,5507,28561,5869,25565,5052,31149,97908,1,4179476,1,256,fft,,16_16_1_32,8448,16,16,256,1,32,1x32,one_to_many
7,5508,28558,5865,25564,5054,31130,96296,1,4204895,1,256,fft,,16_16_1_32,8448,16,16,256,1,32,1x32,one_to_many
8,5472,28743,5861,25559,5054,31135,97267,1,4163282,1,256,fft,,16_16_1_32,8448,16,16,256,1,32,1x32,one_to_many
9,5507,28597,5878,25537,5054,31131,98299,1,4198034,1,256,fft,,16_16_1_32,8448,16,16,256,1,32,1x32,one_to_many
0,4747,33174,2673,56262,4558,34536,78339,1,10782500,1,256,fft,,32_32_1_8,9216,32,32,1024,1,8,1x8,one_to_many
1,4631,33992,2679,55835,4558,34532,118800,1,4194038,1,256,fft,,32_32_1_8,9216,32,32,1024,1,8,1x8,one_to_many
2,4630,33998,2665,56384,4602,34213,101633,1,4008979,1,256,fft,,32_32_1_8,9216,32,32,1024,1,8,1x8,one_to_many
3,4747,33166,2673,56349,4602,34212,98238,1,4022319,1,256,fft,,32_32_1_8,9216,32,32,1024,1,8,1x8,one_to_many
4,4750,33156,2677,55968,4572,34428,94202,1,3737928,1,256,fft,,32_32_1_8,9216,32,32,1024,1,8,1x8,one_to_many
