,Kernel,Kernel_iterations,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,22050,68034,original,,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,78282,19162,original,,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,62347,24059,original,,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,301950,4969,original,,16_16_1_32,8448,16,16,256,1,32,1x32,one_to_many
0,216523,6930,original,,32_32_1_8,9216,32,32,1024,1,8,1x8,one_to_many
0,212846,7046,original,,64_64_1_2,12288,64,64,4096,1,2,1x2,one_to_many
0,831645,1800,original,,32_32_1_32,33792,32,32,1024,1,32,1x32,one_to_many
0,777447,1930,original,,64_64_1_8,36864,64,64,4096,1,8,1x8,one_to_many
0,801866,1871,original,,128_128_1_2,49152,128,128,16384,1,2,1x2,one_to_many
0,3051022,492,original,,64_64_1_32,135168,64,64,4096,1,32,1x32,one_to_many
0,3075311,488,original,,128_128_1_8,147456,128,128,16384,1,8,1x8,one_to_many
0,6792270,221,original,,256_256_1_2,196608,256,256,65536,1,2,1x2,one_to_many
0,12166881,100,original,,128_128_1_32,540672,128,128,16384,1,32,1x32,one_to_many
0,27133189,58,original,,256_256_1_8,589824,256,256,65536,1,8,1x8,one_to_many
0,119623206,13,original,,256_256_1_32,2162688,256,256,65536,1,32,1x32,one_to_many
