,Kernel,Kernel_iterations,warps_per_thread_block,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,11800,127088,4,basic,4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,12972,115636,8,basic,8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,18945,79176,4,basic,4,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,21833,68704,8,basic,8,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,25058,59861,4,basic,4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,28656,52345,8,basic,8,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,61044,24573,4,basic,4,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,72365,20729,8,basic,8,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,85898,17463,4,basic,4,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,102925,10000,8,basic,8,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,185851,8072,4,basic,4,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,230417,6510,8,basic,8,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,380927,3938,4,basic,4,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,402287,3729,8,basic,8,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,1440900,1041,4,basic,4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,1735406,865,8,basic,8,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,4293265,350,8,basic,8,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,3344128,449,4,basic,4,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
