,Kernel,Kernel_iterations,shifts_per_thread_block,shared_mem_row_size,shared_mem_rows,strided_load,column_group_per_block,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,4190,359031,8,32,8,0,0,warp-per-shift-shared-memory,8_32_False_False,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,4190,358951,8,32,8,0,1,warp-per-shift-shared-memory,8_32_False_True,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,3640,412017,8,32,8,1,0,warp-per-shift-shared-memory,8_32_True_False,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,3646,411372,8,32,8,1,1,warp-per-shift-shared-memory,8_32_True_True,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,4190,358778,8,128,8,0,0,warp-per-shift-shared-memory,8_128_False_False,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,4190,358873,8,128,8,0,1,warp-per-shift-shared-memory,8_128_False_True,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,3645,411452,8,128,8,1,0,warp-per-shift-shared-memory,8_128_True_False,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,3612,415209,8,128,8,1,1,warp-per-shift-shared-memory,8_128_True_True,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,4220,356090,8,256,8,0,0,warp-per-shift-shared-memory,8_256_False_False,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,4220,356123,8,256,8,0,1,warp-per-shift-shared-memory,8_256_False_True,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,3661,409713,8,256,8,1,0,warp-per-shift-shared-memory,8_256_True_False,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,3652,410862,8,256,8,1,1,warp-per-shift-shared-memory,8_256_True_True,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,3506,428622,16,32,16,0,0,warp-per-shift-shared-memory,16_32_False_False,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,3506,428614,16,32,16,0,1,warp-per-shift-shared-memory,16_32_False_True,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,3024,496036,16,32,16,1,0,warp-per-shift-shared-memory,16_32_True_False,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,3024,495937,16,32,16,1,1,warp-per-shift-shared-memory,16_32_True_True,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,3506,428592,16,128,16,0,0,warp-per-shift-shared-memory,16_128_False_False,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,3506,428806,16,128,16,0,1,warp-per-shift-shared-memory,16_128_False_True,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,3024,495919,16,128,16,1,0,warp-per-shift-shared-memory,16_128_True_False,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,3027,495748,16,128,16,1,1,warp-per-shift-shared-memory,16_128_True_True,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,3465,432836,16,256,16,0,0,warp-per-shift-shared-memory,16_256_False_False,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,3465,432812,16,256,16,0,1,warp-per-shift-shared-memory,16_256_False_True,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,3017,497052,16,256,16,1,0,warp-per-shift-shared-memory,16_256_True_False,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,3017,497046,16,256,16,1,1,warp-per-shift-shared-memory,16_256_True_True,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,3913,383340,32,32,32,0,0,warp-per-shift-shared-memory,32_32_False_False,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,3913,383327,32,32,32,0,1,warp-per-shift-shared-memory,32_32_False_True,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,3315,452294,32,32,32,1,0,warp-per-shift-shared-memory,32_32_True_False,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,3315,452308,32,32,32,1,1,warp-per-shift-shared-memory,32_32_True_True,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,3913,383328,32,128,32,0,0,warp-per-shift-shared-memory,32_128_False_False,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,3913,383337,32,128,32,0,1,warp-per-shift-shared-memory,32_128_False_True,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,3315,452294,32,128,32,1,0,warp-per-shift-shared-memory,32_128_True_False,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,3315,452308,32,128,32,1,1,warp-per-shift-shared-memory,32_128_True_True,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,5302,282871,8,32,8,0,0,warp-per-shift-shared-memory,8_32_False_False,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,5302,282845,8,32,8,0,1,warp-per-shift-shared-memory,8_32_False_True,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,4559,328912,8,32,8,1,0,warp-per-shift-shared-memory,8_32_True_False,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,4557,329090,8,32,8,1,1,warp-per-shift-shared-memory,8_32_True_True,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,5302,282876,8,128,8,0,0,warp-per-shift-shared-memory,8_128_False_False,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,5302,282876,8,128,8,0,1,warp-per-shift-shared-memory,8_128_False_True,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,4553,329357,8,128,8,1,0,warp-per-shift-shared-memory,8_128_True_False,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,4559,328963,8,128,8,1,1,warp-per-shift-shared-memory,8_128_True_True,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,5302,282904,8,256,8,0,0,warp-per-shift-shared-memory,8_256_False_False,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,5302,282914,8,256,8,0,1,warp-per-shift-shared-memory,8_256_False_True,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,4556,329127,8,256,8,1,0,warp-per-shift-shared-memory,8_256_True_False,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,4498,333374,8,256,8,1,1,warp-per-shift-shared-memory,8_256_True_True,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,4633,324102,16,32,16,0,0,warp-per-shift-shared-memory,16_32_False_False,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,4633,324117,16,32,16,0,1,warp-per-shift-shared-memory,16_32_False_True,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,3933,381351,16,32,16,1,0,warp-per-shift-shared-memory,16_32_True_False,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,3933,381311,16,32,16,1,1,warp-per-shift-shared-memory,16_32_True_True,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,4632,324237,16,128,16,0,0,warp-per-shift-shared-memory,16_128_False_False,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,4633,324161,16,128,16,0,1,warp-per-shift-shared-memory,16_128_False_True,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,3933,381253,16,128,16,1,0,warp-per-shift-shared-memory,16_128_True_False,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,3933,381401,16,128,16,1,1,warp-per-shift-shared-memory,16_128_True_True,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,4632,324175,16,256,16,0,0,warp-per-shift-shared-memory,16_256_False_False,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,4632,324287,16,256,16,0,1,warp-per-shift-shared-memory,16_256_False_True,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,3931,381578,16,256,16,1,0,warp-per-shift-shared-memory,16_256_True_False,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,3926,382016,16,256,16,1,1,warp-per-shift-shared-memory,16_256_True_True,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,4564,329358,32,32,32,0,0,warp-per-shift-shared-memory,32_32_False_False,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,4571,328684,32,32,32,0,1,warp-per-shift-shared-memory,32_32_False_True,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
