,Kernel,Kernel_iterations,shifts_per_thread_block,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,5102,29378,4,warp-per-shift-simple-indexing,4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
1,5103,29407,4,warp-per-shift-simple-indexing,4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
2,5102,29396,4,warp-per-shift-simple-indexing,4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
3,5098,29411,4,warp-per-shift-simple-indexing,4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
4,5097,29420,4,warp-per-shift-simple-indexing,4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
5,5101,29413,4,warp-per-shift-simple-indexing,4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
6,5100,29422,4,warp-per-shift-simple-indexing,4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
7,5097,29428,4,warp-per-shift-simple-indexing,4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
8,5100,29413,4,warp-per-shift-simple-indexing,4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
9,5100,29422,4,warp-per-shift-simple-indexing,4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,5088,29481,16,warp-per-shift-simple-indexing,16,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
1,5087,29487,16,warp-per-shift-simple-indexing,16,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
2,5087,29485,16,warp-per-shift-simple-indexing,16,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
3,5087,29483,16,warp-per-shift-simple-indexing,16,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
4,5087,29482,16,warp-per-shift-simple-indexing,16,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
5,5088,29477,16,warp-per-shift-simple-indexing,16,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
6,5087,29472,16,warp-per-shift-simple-indexing,16,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
7,5087,29480,16,warp-per-shift-simple-indexing,16,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
8,5087,29481,16,warp-per-shift-simple-indexing,16,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
9,5088,29485,16,warp-per-shift-simple-indexing,16,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,5791,25897,32,warp-per-shift-simple-indexing,32,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
1,5791,25895,32,warp-per-shift-simple-indexing,32,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
2,5792,25900,32,warp-per-shift-simple-indexing,32,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
3,5791,25897,32,warp-per-shift-simple-indexing,32,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
4,5791,25901,32,warp-per-shift-simple-indexing,32,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
5,5790,25903,32,warp-per-shift-simple-indexing,32,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
6,5791,25900,32,warp-per-shift-simple-indexing,32,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
7,5792,25900,32,warp-per-shift-simple-indexing,32,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
8,5791,25900,32,warp-per-shift-simple-indexing,32,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
9,5790,25900,32,warp-per-shift-simple-indexing,32,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,6949,21583,4,warp-per-shift-simple-indexing,4,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
1,6949,21584,4,warp-per-shift-simple-indexing,4,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
2,6951,21590,4,warp-per-shift-simple-indexing,4,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
3,6949,21582,4,warp-per-shift-simple-indexing,4,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
4,6949,21584,4,warp-per-shift-simple-indexing,4,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
5,6948,21585,4,warp-per-shift-simple-indexing,4,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
6,6949,21576,4,warp-per-shift-simple-indexing,4,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
7,6948,21588,4,warp-per-shift-simple-indexing,4,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
8,6947,21587,4,warp-per-shift-simple-indexing,4,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
9,6947,21585,4,warp-per-shift-simple-indexing,4,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,7067,21223,16,warp-per-shift-simple-indexing,16,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
1,7068,21222,16,warp-per-shift-simple-indexing,16,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
2,7068,21222,16,warp-per-shift-simple-indexing,16,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
3,7068,21220,16,warp-per-shift-simple-indexing,16,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
4,7068,21223,16,warp-per-shift-simple-indexing,16,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
5,7068,21223,16,warp-per-shift-simple-indexing,16,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
6,7068,21223,16,warp-per-shift-simple-indexing,16,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
7,7067,21222,16,warp-per-shift-simple-indexing,16,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
8,7068,21221,16,warp-per-shift-simple-indexing,16,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
