,Kernel,Kernel_iterations,warps_per_thread_block,rows_per_thread,distribution_type,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,3475,431433,4,1,rectangle,basic-work_distribution,4_1_rectangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,3571,420088,4,1,triangle,basic-work_distribution,4_1_triangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,4216,355726,4,2,rectangle,basic-work_distribution,4_2_rectangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,4244,353298,4,2,triangle,basic-work_distribution,4_2_triangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,5462,274710,4,4,rectangle,basic-work_distribution,4_4_rectangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,5515,271897,4,4,triangle,basic-work_distribution,4_4_triangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,7882,190280,4,8,rectangle,basic-work_distribution,4_8_rectangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,8021,187191,4,8,triangle,basic-work_distribution,4_8_triangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,12911,116180,4,16,rectangle,basic-work_distribution,4_16_rectangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,13038,115035,4,16,triangle,basic-work_distribution,4_16_triangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,3579,418874,8,1,rectangle,basic-work_distribution,8_1_rectangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,3731,401934,8,1,triangle,basic-work_distribution,8_1_triangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,4455,336777,8,2,rectangle,basic-work_distribution,8_2_rectangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,4551,329171,8,2,triangle,basic-work_distribution,8_2_triangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,6022,249454,8,4,rectangle,basic-work_distribution,8_4_rectangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,6033,248677,8,4,triangle,basic-work_distribution,8_4_triangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,8906,168427,8,8,rectangle,basic-work_distribution,8_8_rectangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,8865,169309,8,8,triangle,basic-work_distribution,8_8_triangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,14080,106522,8,16,rectangle,basic-work_distribution,8_16_rectangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,14195,105664,8,16,triangle,basic-work_distribution,8_16_triangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,4881,307212,4,1,rectangle,basic-work_distribution,4_1_rectangle,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,4679,320556,4,1,triangle,basic-work_distribution,4_1_triangle,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,5029,298169,4,2,rectangle,basic-work_distribution,4_2_rectangle,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,5181,289519,4,2,triangle,basic-work_distribution,4_2_triangle,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,6231,240711,4,4,rectangle,basic-work_distribution,4_4_rectangle,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,6234,240632,4,4,triangle,basic-work_distribution,4_4_triangle,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,9089,165022,4,8,rectangle,basic-work_distribution,4_8_rectangle,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,9243,162270,4,8,triangle,basic-work_distribution,4_8_triangle,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,14829,101156,4,16,rectangle,basic-work_distribution,4_16_rectangle,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,15082,99456,4,16,triangle,basic-work_distribution,4_16_triangle,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,4881,307244,8,1,rectangle,basic-work_distribution,8_1_rectangle,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,4941,303527,8,1,triangle,basic-work_distribution,8_1_triangle,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,5028,298267,8,2,rectangle,basic-work_distribution,8_2_rectangle,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,5179,289564,8,2,triangle,basic-work_distribution,8_2_triangle,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,6832,219512,8,4,rectangle,basic-work_distribution,8_4_rectangle,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,6833,219498,8,4,triangle,basic-work_distribution,8_4_triangle,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,9991,150118,8,8,rectangle,basic-work_distribution,8_8_rectangle,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,10192,147163,8,8,triangle,basic-work_distribution,8_8_triangle,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,16737,89615,8,16,rectangle,basic-work_distribution,8_16_rectangle,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,16363,91695,8,16,triangle,basic-work_distribution,8_16_triangle,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
