,Kernel,Kernel_iterations,num_cuda_streams,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,40799,36750,8,original,,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,40803,36734,8,original,,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,40811,36731,8,original,,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,40808,36738,8,original,,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,40817,36747,8,original,,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,40808,36746,8,original,,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,40796,36769,8,original,,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,40759,36798,8,original,,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,40811,36739,8,original,,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,40819,36743,8,original,,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,140250,10000,8,original,,16_16_8_8,4096,16,16,256,8,8,8x8,n_to_m
1,140256,10000,8,original,,16_16_8_8,4096,16,16,256,8,8,8x8,n_to_m
2,140243,10000,8,original,,16_16_8_8,4096,16,16,256,8,8,8x8,n_to_m
3,140330,10000,8,original,,16_16_8_8,4096,16,16,256,8,8,8x8,n_to_m
4,140324,10000,8,original,,16_16_8_8,4096,16,16,256,8,8,8x8,n_to_m
5,140305,10000,8,original,,16_16_8_8,4096,16,16,256,8,8,8x8,n_to_m
6,140338,10000,8,original,,16_16_8_8,4096,16,16,256,8,8,8x8,n_to_m
7,140378,10000,8,original,,16_16_8_8,4096,16,16,256,8,8,8x8,n_to_m
8,140333,10000,8,original,,16_16_8_8,4096,16,16,256,8,8,8x8,n_to_m
9,140359,10000,8,original,,16_16_8_8,4096,16,16,256,8,8,8x8,n_to_m
0,104966,10000,8,original,,32_32_2_2,4096,32,32,1024,2,2,2x2,n_to_m
1,104987,10000,8,original,,32_32_2_2,4096,32,32,1024,2,2,2x2,n_to_m
2,104957,10000,8,original,,32_32_2_2,4096,32,32,1024,2,2,2x2,n_to_m
3,104959,10000,8,original,,32_32_2_2,4096,32,32,1024,2,2,2x2,n_to_m
4,104972,10000,8,original,,32_32_2_2,4096,32,32,1024,2,2,2x2,n_to_m
5,104983,10000,8,original,,32_32_2_2,4096,32,32,1024,2,2,2x2,n_to_m
6,104943,10000,8,original,,32_32_2_2,4096,32,32,1024,2,2,2x2,n_to_m
7,104951,10000,8,original,,32_32_2_2,4096,32,32,1024,2,2,2x2,n_to_m
8,105019,10000,8,original,,32_32_2_2,4096,32,32,1024,2,2,2x2,n_to_m
9,104989,10000,8,original,,32_32_2_2,4096,32,32,1024,2,2,2x2,n_to_m
0,1950071,770,8,original,,16_16_32_32,16384,16,16,256,32,32,32x32,n_to_m
1,1950139,770,8,original,,16_16_32_32,16384,16,16,256,32,32,32x32,n_to_m
2,1946478,771,8,original,,16_16_32_32,16384,16,16,256,32,32,32x32,n_to_m
3,1946138,771,8,original,,16_16_32_32,16384,16,16,256,32,32,32x32,n_to_m
4,1949928,769,8,original,,16_16_32_32,16384,16,16,256,32,32,32x32,n_to_m
5,1950173,769,8,original,,16_16_32_32,16384,16,16,256,32,32,32x32,n_to_m
6,1946293,771,8,original,,16_16_32_32,16384,16,16,256,32,32,32x32,n_to_m
7,1948254,770,8,original,,16_16_32_32,16384,16,16,256,32,32,32x32,n_to_m
8,1949682,770,8,original,,16_16_32_32,16384,16,16,256,32,32,32x32,n_to_m
9,1950172,770,8,original,,16_16_32_32,16384,16,16,256,32,32,32x32,n_to_m
0,469357,3192,8,original,,32_32_8_8,16384,32,32,1024,8,8,8x8,n_to_m
1,469267,3195,8,original,,32_32_8_8,16384,32,32,1024,8,8,8x8,n_to_m
2,469234,3194,8,original,,32_32_8_8,16384,32,32,1024,8,8,8x8,n_to_m
3,469240,3196,8,original,,32_32_8_8,16384,32,32,1024,8,8,8x8,n_to_m
4,469244,3196,8,original,,32_32_8_8,16384,32,32,1024,8,8,8x8,n_to_m
5,469249,3196,8,original,,32_32_8_8,16384,32,32,1024,8,8,8x8,n_to_m
6,469268,3195,8,original,,32_32_8_8,16384,32,32,1024,8,8,8x8,n_to_m
7,469251,3195,8,original,,32_32_8_8,16384,32,32,1024,8,8,8x8,n_to_m
8,469246,3196,8,original,,32_32_8_8,16384,32,32,1024,8,8,8x8,n_to_m
9,469253,3195,8,original,,32_32_8_8,16384,32,32,1024,8,8,8x8,n_to_m
0,371079,4041,8,original,,64_64_2_2,16384,64,64,4096,2,2,2x2,n_to_m
1,371118,4041,8,original,,64_64_2_2,16384,64,64,4096,2,2,2x2,n_to_m
2,371131,4041,8,original,,64_64_2_2,16384,64,64,4096,2,2,2x2,n_to_m
3,371132,4041,8,original,,64_64_2_2,16384,64,64,4096,2,2,2x2,n_to_m
4,371114,4042,8,original,,64_64_2_2,16384,64,64,4096,2,2,2x2,n_to_m
5,371158,4041,8,original,,64_64_2_2,16384,64,64,4096,2,2,2x2,n_to_m
6,371204,4041,8,original,,64_64_2_2,16384,64,64,4096,2,2,2x2,n_to_m
7,371996,4032,8,original,,64_64_2_2,16384,64,64,4096,2,2,2x2,n_to_m
8,372050,4032,8,original,,64_64_2_2,16384,64,64,4096,2,2,2x2,n_to_m
9,372049,4033,8,original,,64_64_2_2,16384,64,64,4096,2,2,2x2,n_to_m
0,6669502,225,8,original,,32_32_32_32,65536,32,32,1024,32,32,32x32,n_to_m
1,6660604,225,8,original,,32_32_32_32,65536,32,32,1024,32,32,32x32,n_to_m
2,6677224,225,8,original,,32_32_32_32,65536,32,32,1024,32,32,32x32,n_to_m
3,6676032,226,8,original,,32_32_32_32,65536,32,32,1024,32,32,32x32,n_to_m
4,6671173,226,8,original,,32_32_32_32,65536,32,32,1024,32,32,32x32,n_to_m
5,6684725,226,8,original,,32_32_32_32,65536,32,32,1024,32,32,32x32,n_to_m
6,6658594,225,8,original,,32_32_32_32,65536,32,32,1024,32,32,32x32,n_to_m
7,6686235,225,8,original,,32_32_32_32,65536,32,32,1024,32,32,32x32,n_to_m
8,6661765,226,8,original,,32_32_32_32,65536,32,32,1024,32,32,32x32,n_to_m
9,6662983,226,8,original,,32_32_32_32,65536,32,32,1024,32,32,32x32,n_to_m
0,2830796,530,8,original,,64_64_8_8,65536,64,64,4096,8,8,8x8,n_to_m
1,2830561,530,8,original,,64_64_8_8,65536,64,64,4096,8,8,8x8,n_to_m
2,2830680,530,8,original,,64_64_8_8,65536,64,64,4096,8,8,8x8,n_to_m
3,2830163,530,8,original,,64_64_8_8,65536,64,64,4096,8,8,8x8,n_to_m
4,2830470,530,8,original,,64_64_8_8,65536,64,64,4096,8,8,8x8,n_to_m
5,2830595,531,8,original,,64_64_8_8,65536,64,64,4096,8,8,8x8,n_to_m
6,2830182,530,8,original,,64_64_8_8,65536,64,64,4096,8,8,8x8,n_to_m
7,2829951,531,8,original,,64_64_8_8,65536,64,64,4096,8,8,8x8,n_to_m
8,2830733,530,8,original,,64_64_8_8,65536,64,64,4096,8,8,8x8,n_to_m
9,2829514,531,8,original,,64_64_8_8,65536,64,64,4096,8,8,8x8,n_to_m
0,2376576,631,8,original,,128_128_2_2,65536,128,128,16384,2,2,2x2,n_to_m
1,2377617,631,8,original,,128_128_2_2,65536,128,128,16384,2,2,2x2,n_to_m
2,2377740,631,8,original,,128_128_2_2,65536,128,128,16384,2,2,2x2,n_to_m
3,2377678,631,8,original,,128_128_2_2,65536,128,128,16384,2,2,2x2,n_to_m
4,2378104,632,8,original,,128_128_2_2,65536,128,128,16384,2,2,2x2,n_to_m
5,2377448,631,8,original,,128_128_2_2,65536,128,128,16384,2,2,2x2,n_to_m
6,2377758,631,8,original,,128_128_2_2,65536,128,128,16384,2,2,2x2,n_to_m
7,2376950,631,8,original,,128_128_2_2,65536,128,128,16384,2,2,2x2,n_to_m
8,2377220,632,8,original,,128_128_2_2,65536,128,128,16384,2,2,2x2,n_to_m
9,2376984,632,8,original,,128_128_2_2,65536,128,128,16384,2,2,2x2,n_to_m
0,36541488,40,8,original,,64_64_32_32,262144,64,64,4096,32,32,32x32,n_to_m
1,36650904,42,8,original,,64_64_32_32,262144,64,64,4096,32,32,32x32,n_to_m
2,36648230,41,8,original,,64_64_32_32,262144,64,64,4096,32,32,32x32,n_to_m
3,36357499,42,8,original,,64_64_32_32,262144,64,64,4096,32,32,32x32,n_to_m
4,36693201,41,8,original,,64_64_32_32,262144,64,64,4096,32,32,32x32,n_to_m
5,36742455,42,8,original,,64_64_32_32,262144,64,64,4096,32,32,32x32,n_to_m
6,36703099,40,8,original,,64_64_32_32,262144,64,64,4096,32,32,32x32,n_to_m
7,36602792,42,8,original,,64_64_32_32,262144,64,64,4096,32,32,32x32,n_to_m
8,36454158,40,8,original,,64_64_32_32,262144,64,64,4096,32,32,32x32,n_to_m
9,36719202,39,8,original,,64_64_32_32,262144,64,64,4096,32,32,32x32,n_to_m
0,24214790,62,8,original,,128_128_8_8,262144,128,128,16384,8,8,8x8,n_to_m
1,24260696,60,8,original,,128_128_8_8,262144,128,128,16384,8,8,8x8,n_to_m
2,24390881,62,8,original,,128_128_8_8,262144,128,128,16384,8,8,8x8,n_to_m
3,24356691,65,8,original,,128_128_8_8,262144,128,128,16384,8,8,8x8,n_to_m
4,24308248,63,8,original,,128_128_8_8,262144,128,128,16384,8,8,8x8,n_to_m
5,24446587,60,8,original,,128_128_8_8,262144,128,128,16384,8,8,8x8,n_to_m
6,24354151,63,8,original,,128_128_8_8,262144,128,128,16384,8,8,8x8,n_to_m
7,24430304,62,8,original,,128_128_8_8,262144,128,128,16384,8,8,8x8,n_to_m
8,24369486,64,8,original,,128_128_8_8,262144,128,128,16384,8,8,8x8,n_to_m
9,24595720,61,8,original,,128_128_8_8,262144,128,128,16384,8,8,8x8,n_to_m
0,20736125,75,8,original,,256_256_2_2,262144,256,256,65536,2,2,2x2,n_to_m
1,20852664,76,8,original,,256_256_2_2,262144,256,256,65536,2,2,2x2,n_to_m
2,20625790,70,8,original,,256_256_2_2,262144,256,256,65536,2,2,2x2,n_to_m
3,20742117,74,8,original,,256_256_2_2,262144,256,256,65536,2,2,2x2,n_to_m
4,20680677,71,8,original,,256_256_2_2,262144,256,256,65536,2,2,2x2,n_to_m
5,20854649,74,8,original,,256_256_2_2,262144,256,256,65536,2,2,2x2,n_to_m
6,20791199,71,8,original,,256_256_2_2,262144,256,256,65536,2,2,2x2,n_to_m
7,20880483,73,8,original,,256_256_2_2,262144,256,256,65536,2,2,2x2,n_to_m
8,20930916,73,8,original,,256_256_2_2,262144,256,256,65536,2,2,2x2,n_to_m
9,21019155,73,8,original,,256_256_2_2,262144,256,256,65536,2,2,2x2,n_to_m
0,352836479,5,8,original,,128_128_32_32,1048576,128,128,16384,32,32,32x32,n_to_m
1,354938883,5,8,original,,128_128_32_32,1048576,128,128,16384,32,32,32x32,n_to_m
2,354196111,5,8,original,,128_128_32_32,1048576,128,128,16384,32,32,32x32,n_to_m
