,Kernel,Kernel_iterations,num_cuda_streams,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,30579621,49,8,original,,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,30564607,50,8,original,,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,30566450,50,8,original,,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,30668369,50,8,original,,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,30647781,49,8,original,,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,30658706,49,8,original,,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,30660089,49,8,original,,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,30663132,49,8,original,,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
8,30690110,49,8,original,,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
9,30673759,49,8,original,,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
0,97127322,16,8,original,,32_32_128_128,262144,32,32,1024,128,128,128x128,n_to_m_saturated
1,97692113,16,8,original,,32_32_128_128,262144,32,32,1024,128,128,128x128,n_to_m_saturated
2,97272259,16,8,original,,32_32_128_128,262144,32,32,1024,128,128,128x128,n_to_m_saturated
3,97503983,16,8,original,,32_32_128_128,262144,32,32,1024,128,128,128x128,n_to_m_saturated
4,97354866,16,8,original,,32_32_128_128,262144,32,32,1024,128,128,128x128,n_to_m_saturated
5,97407339,16,8,original,,32_32_128_128,262144,32,32,1024,128,128,128x128,n_to_m_saturated
6,97459268,16,8,original,,32_32_128_128,262144,32,32,1024,128,128,128x128,n_to_m_saturated
7,97464070,16,8,original,,32_32_128_128,262144,32,32,1024,128,128,128x128,n_to_m_saturated
8,97388810,16,8,original,,32_32_128_128,262144,32,32,1024,128,128,128x128,n_to_m_saturated
9,97483495,16,8,original,,32_32_128_128,262144,32,32,1024,128,128,128x128,n_to_m_saturated
0,533053169,3,8,original,,64_64_128_128,1048576,64,64,4096,128,128,128x128,n_to_m_saturated
1,536542440,3,8,original,,64_64_128_128,1048576,64,64,4096,128,128,128x128,n_to_m_saturated
2,537297405,3,8,original,,64_64_128_128,1048576,64,64,4096,128,128,128x128,n_to_m_saturated
3,531347492,3,8,original,,64_64_128_128,1048576,64,64,4096,128,128,128x128,n_to_m_saturated
4,540279713,3,8,original,,64_64_128_128,1048576,64,64,4096,128,128,128x128,n_to_m_saturated
5,535916140,3,8,original,,64_64_128_128,1048576,64,64,4096,128,128,128x128,n_to_m_saturated
6,534036420,3,8,original,,64_64_128_128,1048576,64,64,4096,128,128,128x128,n_to_m_saturated
7,541137940,3,8,original,,64_64_128_128,1048576,64,64,4096,128,128,128x128,n_to_m_saturated
8,537914310,3,8,original,,64_64_128_128,1048576,64,64,4096,128,128,128x128,n_to_m_saturated
9,531302836,3,8,original,,64_64_128_128,1048576,64,64,4096,128,128,128x128,n_to_m_saturated
0,5533721245,1,8,original,,128_128_128_128,4194304,128,128,16384,128,128,128x128,n_to_m_saturated
1,5521855260,1,8,original,,128_128_128_128,4194304,128,128,16384,128,128,128x128,n_to_m_saturated
2,5565223033,1,8,original,,128_128_128_128,4194304,128,128,16384,128,128,128x128,n_to_m_saturated
3,5561101954,1,8,original,,128_128_128_128,4194304,128,128,16384,128,128,128x128,n_to_m_saturated
4,5557013311,1,8,original,,128_128_128_128,4194304,128,128,16384,128,128,128x128,n_to_m_saturated
5,5554908211,1,8,original,,128_128_128_128,4194304,128,128,16384,128,128,128x128,n_to_m_saturated
6,5571727881,1,8,original,,128_128_128_128,4194304,128,128,16384,128,128,128x128,n_to_m_saturated
7,5561420751,1,8,original,,128_128_128_128,4194304,128,128,16384,128,128,128x128,n_to_m_saturated
8,5553720029,1,8,original,,128_128_128_128,4194304,128,128,16384,128,128,128x128,n_to_m_saturated
9,5557632081,1,8,original,,128_128_128_128,4194304,128,128,16384,128,128,128x128,n_to_m_saturated
0,81943082301,1,8,original,,256_256_128_128,16777216,256,256,65536,128,128,128x128,n_to_m_saturated
1,82063736441,1,8,original,,256_256_128_128,16777216,256,256,65536,128,128,128x128,n_to_m_saturated
2,82226877793,1,8,original,,256_256_128_128,16777216,256,256,65536,128,128,128x128,n_to_m_saturated
3,82173741353,1,8,original,,256_256_128_128,16777216,256,256,65536,128,128,128x128,n_to_m_saturated
4,82266023515,1,8,original,,256_256_128_128,16777216,256,256,65536,128,128,128x128,n_to_m_saturated
5,82179230404,1,8,original,,256_256_128_128,16777216,256,256,65536,128,128,128x128,n_to_m_saturated
6,82241975180,1,8,original,,256_256_128_128,16777216,256,256,65536,128,128,128x128,n_to_m_saturated
7,82156293099,1,8,original,,256_256_128_128,16777216,256,256,65536,128,128,128x128,n_to_m_saturated
8,82228689835,1,8,original,,256_256_128_128,16777216,256,256,65536,128,128,128x128,n_to_m_saturated
9,82119142186,1,8,original,,256_256_128_128,16777216,256,256,65536,128,128,128x128,n_to_m_saturated
