,Forward FFT,Forward FFT_iterations,Hadamard,Hadamard_iterations,Inverse FFT,Inverse FFT_iterations,Allocation,Allocation_iterations,Plan,Plan_iterations,hadamard_threads_per_block,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,73279,10000,127104,1183,70501,10000,248256,1,12179719,1,256,fft,,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
1,73240,10000,127166,1178,70581,10000,204730,1,5918253,1,256,fft,,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
2,73270,10000,127147,1177,70583,10000,214877,1,6174646,1,256,fft,,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
3,73231,10000,127145,1180,70542,10000,208177,1,6407688,1,256,fft,,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
4,73279,10000,127108,1181,70578,10000,211262,1,5915385,1,256,fft,,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
5,73238,10000,127126,1180,70567,10000,203207,1,5172157,1,256,fft,,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
6,73271,10000,127075,1179,70566,10000,211796,1,5988720,1,256,fft,,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
7,73231,10000,127143,1180,70537,10000,202543,1,5820145,1,256,fft,,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
8,73279,10000,127067,1178,70573,10000,216300,1,5354413,1,256,fft,,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
9,73258,10000,127133,1180,70534,10000,200921,1,5162187,1,256,fft,,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
0,257876,10000,184702,811,237692,10000,387410,1,11111539,1,256,fft,,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
1,257868,10000,184777,811,237677,10000,348643,1,6419784,1,256,fft,,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
2,257901,10000,184735,811,237686,10000,340820,1,6116347,1,256,fft,,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
3,257909,10000,184775,812,237678,10000,351787,1,6110123,1,256,fft,,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
4,257884,10000,184853,812,237672,10000,341567,1,6279343,1,256,fft,,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
5,257875,10000,184807,813,237672,10000,342418,1,6703672,1,256,fft,,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
6,257900,10000,184762,813,237695,10000,341102,1,6591986,1,256,fft,,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
7,257893,10000,184722,810,237711,10000,373753,1,5344119,1,256,fft,,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
8,257944,10000,184681,811,237721,10000,353711,1,5546302,1,256,fft,,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
9,257932,10000,184871,810,237659,10000,349278,1,6190848,1,256,fft,,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
0,994808,10000,452641,332,940012,10000,673569,1,10353533,1,256,fft,,64_64_10_2560,10526720,64,64,4096,10,2560,10x2560,n_to_mn_saturated
1,994938,10000,452345,332,939970,10000,880490,1,5724591,1,256,fft,,64_64_10_2560,10526720,64,64,4096,10,2560,10x2560,n_to_mn_saturated
2,995052,10000,452577,332,940178,10000,878809,1,5474378,1,256,fft,,64_64_10_2560,10526720,64,64,4096,10,2560,10x2560,n_to_mn_saturated
3,995179,10000,452678,332,940109,10000,863246,1,7401849,1,256,fft,,64_64_10_2560,10526720,64,64,4096,10,2560,10x2560,n_to_mn_saturated
4,995316,10000,452355,332,940484,10000,917802,1,5924521,1,256,fft,,64_64_10_2560,10526720,64,64,4096,10,2560,10x2560,n_to_mn_saturated
5,995559,10000,452860,332,940687,10000,896553,1,5183221,1,256,fft,,64_64_10_2560,10526720,64,64,4096,10,2560,10x2560,n_to_mn_saturated
6,995811,10000,452959,332,940798,10000,882172,1,6971816,1,256,fft,,64_64_10_2560,10526720,64,64,4096,10,2560,10x2560,n_to_mn_saturated
7,995880,10000,452564,332,940910,10000,917483,1,6190273,1,256,fft,,64_64_10_2560,10526720,64,64,4096,10,2560,10x2560,n_to_mn_saturated
8,996111,10000,452891,332,941052,10000,916155,1,5481122,1,256,fft,,64_64_10_2560,10526720,64,64,4096,10,2560,10x2560,n_to_mn_saturated
9,996196,10000,452734,331,941122,10000,869708,1,6488634,1,256,fft,,64_64_10_2560,10526720,64,64,4096,10,2560,10x2560,n_to_mn_saturated
