,Kernel,Kernel_iterations,warps_per_thread_block,shifts_per_thread_right_matrix,right_matrices_per_thread,left_rows_per_iteration,num_cuda_streams,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,572711,262,4,1,1,1,20,multimat-right-multirow-both,4_1_1_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
1,572611,262,4,1,1,1,20,multimat-right-multirow-both,4_1_1_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
2,572615,262,4,1,1,1,20,multimat-right-multirow-both,4_1_1_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
3,572772,262,4,1,1,1,20,multimat-right-multirow-both,4_1_1_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
4,572677,262,4,1,1,1,20,multimat-right-multirow-both,4_1_1_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
5,572625,262,4,1,1,1,20,multimat-right-multirow-both,4_1_1_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
6,572539,262,4,1,1,1,20,multimat-right-multirow-both,4_1_1_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
7,572597,262,4,1,1,1,20,multimat-right-multirow-both,4_1_1_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
8,572619,262,4,1,1,1,20,multimat-right-multirow-both,4_1_1_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
9,572665,262,4,1,1,1,20,multimat-right-multirow-both,4_1_1_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
0,626938,240,4,1,1,2,20,multimat-right-multirow-both,4_1_1_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
1,627019,240,4,1,1,2,20,multimat-right-multirow-both,4_1_1_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
2,626908,240,4,1,1,2,20,multimat-right-multirow-both,4_1_1_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
3,627024,240,4,1,1,2,20,multimat-right-multirow-both,4_1_1_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
4,626864,240,4,1,1,2,20,multimat-right-multirow-both,4_1_1_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
5,626842,240,4,1,1,2,20,multimat-right-multirow-both,4_1_1_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
6,626851,240,4,1,1,2,20,multimat-right-multirow-both,4_1_1_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
7,626916,240,4,1,1,2,20,multimat-right-multirow-both,4_1_1_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
8,626852,240,4,1,1,2,20,multimat-right-multirow-both,4_1_1_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
9,626868,240,4,1,1,2,20,multimat-right-multirow-both,4_1_1_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
0,621113,242,4,1,1,4,20,multimat-right-multirow-both,4_1_1_4,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
1,621209,242,4,1,1,4,20,multimat-right-multirow-both,4_1_1_4,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
2,621131,242,4,1,1,4,20,multimat-right-multirow-both,4_1_1_4,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
3,621506,242,4,1,1,4,20,multimat-right-multirow-both,4_1_1_4,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
4,621075,242,4,1,1,4,20,multimat-right-multirow-both,4_1_1_4,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
5,621156,242,4,1,1,4,20,multimat-right-multirow-both,4_1_1_4,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
6,621096,242,4,1,1,4,20,multimat-right-multirow-both,4_1_1_4,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
7,621091,242,4,1,1,4,20,multimat-right-multirow-both,4_1_1_4,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
8,621097,242,4,1,1,4,20,multimat-right-multirow-both,4_1_1_4,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
9,621126,242,4,1,1,4,20,multimat-right-multirow-both,4_1_1_4,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
0,448061,336,4,2,1,1,20,multimat-right-multirow-both,4_1_2_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
