,Kernel,Kernel_iterations,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,3890785,37,original,,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
1,3882430,39,original,,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
2,3928090,39,original,,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
3,3882745,39,original,,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
4,3927092,39,original,,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
5,3881983,39,original,,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
6,3926567,39,original,,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
7,3882062,39,original,,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
8,3927250,39,original,,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
9,3883270,39,original,,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
0,16542719,9,original,,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
1,14488882,10,original,,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
2,14254172,11,original,,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
3,14263110,11,original,,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
4,14231645,11,original,,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
5,14256314,11,original,,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
6,14239837,11,original,,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
7,14267299,11,original,,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
8,14248309,11,original,,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
9,14262643,11,original,,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
0,118076095,1,original,,64_64_10_2560,10526720,64,64,4096,10,2560,10x2560,n_to_mn_saturated
1,105894912,1,original,,64_64_10_2560,10526720,64,64,4096,10,2560,10x2560,n_to_mn_saturated
2,102147041,1,original,,64_64_10_2560,10526720,64,64,4096,10,2560,10x2560,n_to_mn_saturated
3,101510940,1,original,,64_64_10_2560,10526720,64,64,4096,10,2560,10x2560,n_to_mn_saturated
4,101637184,1,original,,64_64_10_2560,10526720,64,64,4096,10,2560,10x2560,n_to_mn_saturated
