,Kernel,Kernel_iterations,warps_per_thread_block,right_matrices_per_thread,rows_per_thread,distribution_type,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,5479,272768,4,1,1,rectangle,multimat-right-work-distribution,4_1_1_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,5184,288640,4,1,1,triangle,multimat-right-work-distribution,4_1_1_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,7732,193773,4,1,4,rectangle,multimat-right-work-distribution,4_1_4_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,7833,191096,4,1,4,triangle,multimat-right-work-distribution,4_1_4_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,11491,130426,4,1,8,rectangle,multimat-right-work-distribution,4_1_8_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,11434,131130,4,1,8,triangle,multimat-right-work-distribution,4_1_8_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,18853,79483,4,1,16,rectangle,multimat-right-work-distribution,4_1_16_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,18730,79948,4,1,16,triangle,multimat-right-work-distribution,4_1_16_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,5184,288027,4,2,1,rectangle,multimat-right-work-distribution,4_2_1_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,5230,287659,4,2,1,triangle,multimat-right-work-distribution,4_2_1_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,8367,178937,4,2,4,rectangle,multimat-right-work-distribution,4_2_4_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,8578,174634,4,2,4,triangle,multimat-right-work-distribution,4_2_4_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,12938,115895,4,2,8,rectangle,multimat-right-work-distribution,4_2_8_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,12947,115846,4,2,8,triangle,multimat-right-work-distribution,4_2_8_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,21611,68711,4,2,16,rectangle,multimat-right-work-distribution,4_2_16_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
