,Forward FFT,Forward FFT_iterations,Hadamard,Hadamard_iterations,Inverse FFT,Inverse FFT_iterations,Allocation,Allocation_iterations,Plan,Plan_iterations,hadamard_threads_per_block,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,109513,10000,1551294,94,103878,10000,255213,1,11679911,1,256,fft,,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
1,109524,10000,1551359,96,103859,10000,256597,1,109499119,1,256,fft,,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
2,109479,10000,1552446,98,103852,10000,245361,1,5219277,1,256,fft,,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
3,109511,10000,1551669,96,103859,10000,234254,1,4914079,1,256,fft,,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
4,109502,10000,1551349,97,103890,10000,240167,1,4313267,1,256,fft,,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
5,109507,10000,1552021,96,103864,10000,247023,1,4737690,1,256,fft,,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
6,109516,10000,1552014,97,103886,10000,248137,1,4304738,1,256,fft,,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
7,109517,10000,1550800,97,103879,10000,240979,1,4241623,1,256,fft,,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
8,109479,10000,1550890,96,103850,10000,239813,1,4459614,1,256,fft,,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
9,109478,10000,1552257,97,103873,10000,230128,1,7127813,1,256,fft,,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
0,398848,10000,1741762,84,367915,10000,409797,1,9831939,1,256,fft,,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
1,398895,10000,1741740,86,367981,10000,456090,1,5049456,1,256,fft,,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
2,398931,10000,1742546,85,367958,10000,458010,1,15634361,1,256,fft,,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
3,398910,10000,1742359,86,367976,10000,465803,1,4591939,1,256,fft,,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
4,398908,10000,1741347,86,368010,10000,459345,1,4746403,1,256,fft,,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
5,398887,10000,1741359,86,367985,10000,472043,1,4480958,1,256,fft,,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
6,398963,10000,1742212,87,368012,10000,455264,1,5126914,1,256,fft,,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
7,398974,10000,1740728,86,368032,10000,458200,1,5701031,1,256,fft,,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
8,398971,10000,1741061,86,368043,10000,452300,1,5999263,1,256,fft,,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
9,398979,10000,1742038,86,368031,10000,453308,1,5160682,1,256,fft,,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
0,1543793,10000,2110464,70,1464349,10000,848536,1,10680737,1,256,fft,,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
1,1543872,10000,2110579,71,1464499,10000,1279430,1,5387157,1,256,fft,,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
2,1544070,10000,2111242,71,1464839,10000,1299342,1,5533759,1,256,fft,,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
3,1544631,10000,2111829,72,1465358,10000,1271975,1,6661741,1,256,fft,,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
