,Kernel,Kernel_iterations,warps_per_thread_block,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,16281,9208,4,basic,4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
1,16280,9213,4,basic,4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
2,16279,9213,4,basic,4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
3,16281,9208,4,basic,4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
4,16282,9208,4,basic,4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
5,16283,9213,4,basic,4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
6,16282,9208,4,basic,4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
7,16282,9213,4,basic,4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
8,16283,9208,4,basic,4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
9,16284,9179,4,basic,4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
0,16636,8982,8,basic,8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
1,16634,8982,8,basic,8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
2,16638,8982,8,basic,8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
3,16640,8987,8,basic,8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
4,16636,8987,8,basic,8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
5,16633,8982,8,basic,8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
6,16634,8982,8,basic,8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
7,16634,8976,8,basic,8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
8,16638,8982,8,basic,8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
9,16638,8982,8,basic,8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
0,26238,5718,4,basic,4,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one_saturated
1,26244,5723,4,basic,4,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one_saturated
2,26249,5723,4,basic,4,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one_saturated
3,26243,5723,4,basic,4,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one_saturated
4,26245,5723,4,basic,4,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one_saturated
5,26241,5723,4,basic,4,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one_saturated
6,26302,5723,4,basic,4,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one_saturated
7,26262,5678,4,basic,4,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one_saturated
8,26240,5723,4,basic,4,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one_saturated
9,26245,5723,4,basic,4,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one_saturated
0,27218,5503,8,basic,8,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one_saturated
1,27223,5503,8,basic,8,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one_saturated
2,27217,5503,8,basic,8,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one_saturated
3,27223,5503,8,basic,8,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one_saturated
4,27221,5503,8,basic,8,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one_saturated
5,27219,5503,8,basic,8,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one_saturated
6,27223,5503,8,basic,8,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one_saturated
7,27222,5501,8,basic,8,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one_saturated
8,27219,5503,8,basic,8,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one_saturated
9,27220,5503,8,basic,8,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one_saturated
0,34562,4333,4,basic,4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one_saturated
1,34570,4333,4,basic,4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one_saturated
2,34572,4331,4,basic,4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one_saturated
3,34570,4333,4,basic,4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one_saturated
4,34572,4332,4,basic,4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one_saturated
5,34573,4332,4,basic,4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one_saturated
6,34570,4331,4,basic,4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one_saturated
7,34570,4333,4,basic,4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one_saturated
8,34570,4332,4,basic,4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one_saturated
9,34573,4332,4,basic,4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one_saturated
0,35828,4181,8,basic,8,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one_saturated
1,35857,4180,8,basic,8,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one_saturated
2,35845,4181,8,basic,8,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one_saturated
3,35845,4181,8,basic,8,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one_saturated
4,35846,4180,8,basic,8,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one_saturated
5,35847,4181,8,basic,8,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one_saturated
6,35847,4181,8,basic,8,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one_saturated
7,35848,4180,8,basic,8,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one_saturated
8,35847,4180,8,basic,8,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one_saturated
9,35849,4181,8,basic,8,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one_saturated
0,88871,1687,4,basic,4,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one_saturated
1,89089,1684,4,basic,4,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one_saturated
2,88876,1686,4,basic,4,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one_saturated
3,89082,1684,4,basic,4,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one_saturated
4,88876,1686,4,basic,4,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one_saturated
5,88867,1688,4,basic,4,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one_saturated
6,89081,1684,4,basic,4,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one_saturated
7,88880,1688,4,basic,4,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one_saturated
8,89089,1684,4,basic,4,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one_saturated
9,88873,1688,4,basic,4,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one_saturated
0,92175,1627,8,basic,8,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one_saturated
1,92500,1622,8,basic,8,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one_saturated
2,92180,1625,8,basic,8,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one_saturated
3,92175,1625,8,basic,8,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one_saturated
4,92172,1627,8,basic,8,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one_saturated
5,92183,1627,8,basic,8,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one_saturated
6,92183,1627,8,basic,8,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one_saturated
7,92496,1621,8,basic,8,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one_saturated
8,92181,1627,8,basic,8,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one_saturated
9,92180,1625,8,basic,8,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one_saturated
0,123727,1213,4,basic,4,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one_saturated
1,123747,1211,4,basic,4,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one_saturated
2,123715,1212,4,basic,4,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one_saturated
3,123725,1212,4,basic,4,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one_saturated
4,123716,1213,4,basic,4,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one_saturated
5,123740,1212,4,basic,4,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one_saturated
6,123724,1211,4,basic,4,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one_saturated
7,123729,1212,4,basic,4,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one_saturated
8,123728,1211,4,basic,4,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one_saturated
9,123742,1211,4,basic,4,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one_saturated
0,128563,1166,8,basic,8,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one_saturated
1,128587,1166,8,basic,8,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one_saturated
2,128562,1165,8,basic,8,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one_saturated
3,128574,1165,8,basic,8,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one_saturated
4,128580,1166,8,basic,8,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one_saturated
5,128579,1165,8,basic,8,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one_saturated
6,128579,1167,8,basic,8,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one_saturated
7,128578,1166,8,basic,8,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one_saturated
8,128575,1165,8,basic,8,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one_saturated
9,128573,1165,8,basic,8,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one_saturated
0,261345,572,4,basic,4,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one_saturated
1,259888,577,4,basic,4,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one_saturated
2,259930,577,4,basic,4,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one_saturated
3,259888,577,4,basic,4,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one_saturated
4,259881,577,4,basic,4,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one_saturated
5,259893,577,4,basic,4,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one_saturated
6,259895,577,4,basic,4,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one_saturated
7,259867,577,4,basic,4,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one_saturated
8,259893,577,4,basic,4,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one_saturated
9,259872,577,4,basic,4,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one_saturated
0,280092,536,8,basic,8,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one_saturated
1,280085,536,8,basic,8,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one_saturated
2,280115,536,8,basic,8,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one_saturated
3,280080,535,8,basic,8,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one_saturated
4,280108,535,8,basic,8,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one_saturated
5,280076,535,8,basic,8,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one_saturated
6,280091,535,8,basic,8,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one_saturated
7,280088,536,8,basic,8,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one_saturated
8,280095,535,8,basic,8,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one_saturated
9,280095,535,8,basic,8,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one_saturated
0,562771,258,4,basic,4,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one_saturated
1,549794,273,4,basic,4,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one_saturated
2,549741,273,4,basic,4,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one_saturated
3,549726,273,4,basic,4,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one_saturated
4,549670,273,4,basic,4,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one_saturated
5,549824,273,4,basic,4,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one_saturated
6,549689,273,4,basic,4,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one_saturated
7,549752,273,4,basic,4,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one_saturated
8,549644,273,4,basic,4,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one_saturated
9,549752,273,4,basic,4,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one_saturated
0,585680,257,8,basic,8,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one_saturated
1,585283,256,8,basic,8,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one_saturated
2,585475,256,8,basic,8,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one_saturated
3,585138,257,8,basic,8,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one_saturated
4,585596,256,8,basic,8,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one_saturated
5,585272,256,8,basic,8,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one_saturated
6,585560,256,8,basic,8,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one_saturated
7,585010,257,8,basic,8,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one_saturated
8,585708,256,8,basic,8,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one_saturated
9,585170,257,8,basic,8,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one_saturated
0,1777525,74,4,basic,4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
1,1695383,88,4,basic,4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
2,1685526,89,4,basic,4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
3,1687552,90,4,basic,4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
4,1688426,89,4,basic,4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
5,1694685,88,4,basic,4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
6,1687272,88,4,basic,4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
7,1690794,90,4,basic,4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
8,1689381,89,4,basic,4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
9,1693523,89,4,basic,4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
0,1636155,78,8,basic,8,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
1,1649472,91,8,basic,8,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
2,1660451,86,8,basic,8,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
3,1647637,93,8,basic,8,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
4,1642295,92,8,basic,8,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
5,1644147,93,8,basic,8,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
6,1643462,89,8,basic,8,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
7,1651033,89,8,basic,8,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
8,1649942,92,8,basic,8,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
9,1661463,88,8,basic,8,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
0,4936338,28,4,basic,4,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one_saturated
1,4997461,30,4,basic,4,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one_saturated
2,4966980,30,4,basic,4,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one_saturated
3,5007359,32,4,basic,4,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one_saturated
4,4992759,31,4,basic,4,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one_saturated
5,4964420,30,4,basic,4,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one_saturated
6,4985241,30,4,basic,4,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one_saturated
7,4978934,29,4,basic,4,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one_saturated
8,5064571,31,4,basic,4,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one_saturated
9,5019886,30,4,basic,4,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one_saturated
0,5069217,27,8,basic,8,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one_saturated
1,5091257,29,8,basic,8,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one_saturated
2,5046307,29,8,basic,8,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one_saturated
3,5083489,29,8,basic,8,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one_saturated
4,5075456,30,8,basic,8,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one_saturated
5,5084407,29,8,basic,8,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one_saturated
6,5146194,31,8,basic,8,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one_saturated
7,5123218,28,8,basic,8,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one_saturated
8,5146730,29,8,basic,8,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one_saturated
9,5150686,31,8,basic,8,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one_saturated
