,Kernel,Kernel_iterations,warps_per_thread_block,shifts_per_thread_right_matrix,left_matrices_per_thread,right_matrices_per_thread,left_rows_per_iteration,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,18660939453,1,4,1,1,1,1,multimat-both-multirow-both,4_1_1_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,19233,77984,4,1,1,1,1,multimat-both-multirow-both,4_1_1_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,19233,77988,4,1,1,1,1,multimat-both-multirow-both,4_1_1_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,19233,77984,4,1,1,1,1,multimat-both-multirow-both,4_1_1_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,19234,77987,4,1,1,1,1,multimat-both-multirow-both,4_1_1_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,19234,77979,4,1,1,1,1,multimat-both-multirow-both,4_1_1_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,19234,77983,4,1,1,1,1,multimat-both-multirow-both,4_1_1_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,19233,77987,4,1,1,1,1,multimat-both-multirow-both,4_1_1_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,19234,77987,4,1,1,1,1,multimat-both-multirow-both,4_1_1_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,19233,77989,4,1,1,1,1,multimat-both-multirow-both,4_1_1_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,15376,97484,4,1,1,1,2,multimat-both-multirow-both,4_1_1_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,15379,97540,4,1,1,1,2,multimat-both-multirow-both,4_1_1_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,15388,97443,4,1,1,1,2,multimat-both-multirow-both,4_1_1_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,15380,97573,4,1,1,1,2,multimat-both-multirow-both,4_1_1_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,15385,97537,4,1,1,1,2,multimat-both-multirow-both,4_1_1_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,15381,97531,4,1,1,1,2,multimat-both-multirow-both,4_1_1_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,15381,97547,4,1,1,1,2,multimat-both-multirow-both,4_1_1_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,15383,97553,4,1,1,1,2,multimat-both-multirow-both,4_1_1_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,15386,97523,4,1,1,1,2,multimat-both-multirow-both,4_1_1_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,15377,97514,4,1,1,1,2,multimat-both-multirow-both,4_1_1_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,16770,89421,4,1,1,1,4,multimat-both-multirow-both,4_1_1_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,16774,89421,4,1,1,1,4,multimat-both-multirow-both,4_1_1_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,16770,89414,4,1,1,1,4,multimat-both-multirow-both,4_1_1_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,16773,89414,4,1,1,1,4,multimat-both-multirow-both,4_1_1_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,16775,89422,4,1,1,1,4,multimat-both-multirow-both,4_1_1_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,16775,89413,4,1,1,1,4,multimat-both-multirow-both,4_1_1_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,16774,89410,4,1,1,1,4,multimat-both-multirow-both,4_1_1_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,16775,89411,4,1,1,1,4,multimat-both-multirow-both,4_1_1_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,16775,89425,4,1,1,1,4,multimat-both-multirow-both,4_1_1_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,16774,89424,4,1,1,1,4,multimat-both-multirow-both,4_1_1_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,22504,66611,4,2,1,1,1,multimat-both-multirow-both,4_1_1_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,22500,66634,4,2,1,1,1,multimat-both-multirow-both,4_1_1_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,22501,66668,4,2,1,1,1,multimat-both-multirow-both,4_1_1_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,22495,66654,4,2,1,1,1,multimat-both-multirow-both,4_1_1_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,22500,66669,4,2,1,1,1,multimat-both-multirow-both,4_1_1_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,22500,66656,4,2,1,1,1,multimat-both-multirow-both,4_1_1_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,22484,66728,4,2,1,1,1,multimat-both-multirow-both,4_1_1_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,22500,66711,4,2,1,1,1,multimat-both-multirow-both,4_1_1_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,22508,66613,4,2,1,1,1,multimat-both-multirow-both,4_1_1_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,22502,66639,4,2,1,1,1,multimat-both-multirow-both,4_1_1_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,17014,88177,4,2,1,1,2,multimat-both-multirow-both,4_1_1_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
