,Kernel,Kernel_iterations,warps_per_thread_block,left_matrices_per_thread,right_matrices_per_thread,rows_per_thread,distribution_type,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,2752145,545,4,1,1,1,none,multimat-both,4_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,2752175,545,4,1,1,1,none,multimat-both,4_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,2752178,546,4,1,1,1,none,multimat-both,4_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,2752186,545,4,1,1,1,none,multimat-both,4_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,2752262,546,4,1,1,1,none,multimat-both,4_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,2752202,546,4,1,1,1,none,multimat-both,4_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,2752173,545,4,1,1,1,none,multimat-both,4_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,2752142,546,4,1,1,1,none,multimat-both,4_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
8,2752250,545,4,1,1,1,none,multimat-both,4_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
9,2752157,546,4,1,1,1,none,multimat-both,4_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
0,1855894,809,4,1,2,1,none,multimat-both,4_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,1855855,809,4,1,2,1,none,multimat-both,4_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,1855861,809,4,1,2,1,none,multimat-both,4_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,1855906,809,4,1,2,1,none,multimat-both,4_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,1855860,809,4,1,2,1,none,multimat-both,4_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,1858471,809,4,1,2,1,none,multimat-both,4_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,1858166,809,4,1,2,1,none,multimat-both,4_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,1858651,809,4,1,2,1,none,multimat-both,4_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
8,1858442,809,4,1,2,1,none,multimat-both,4_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
9,1858644,809,4,1,2,1,none,multimat-both,4_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
0,1413252,1071,4,1,4,1,none,multimat-both,4_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,1413375,1064,4,1,4,1,none,multimat-both,4_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,1415204,1065,4,1,4,1,none,multimat-both,4_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,1414197,1064,4,1,4,1,none,multimat-both,4_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,1416025,1065,4,1,4,1,none,multimat-both,4_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,1416018,1065,4,1,4,1,none,multimat-both,4_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,1416203,1063,4,1,4,1,none,multimat-both,4_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,1416086,1064,4,1,4,1,none,multimat-both,4_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
