,Forward FFT,Forward FFT_iterations,Hadamard,Hadamard_iterations,Inverse FFT,Inverse FFT_iterations,Allocation,Allocation_iterations,Plan,Plan_iterations,hadamard_threads_per_block,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,53202,10000,752066,200,50225,10000,222487,1,9864999,1,256,fft,,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
1,53259,10000,752419,200,50203,10000,214014,1,4167250,1,256,fft,,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
2,53198,10000,752430,200,50217,10000,208616,1,7052019,1,256,fft,,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
3,53282,10000,752235,200,50208,10000,215636,1,4164597,1,256,fft,,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
4,53202,10000,751959,200,50228,10000,215417,1,5099191,1,256,fft,,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
5,53271,10000,752424,200,50217,10000,215367,1,4211237,1,256,fft,,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
6,53201,10000,752378,200,50223,10000,210539,1,4471481,1,256,fft,,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
7,53275,10000,752762,200,50210,10000,212682,1,5417624,1,256,fft,,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
8,53207,10000,752168,200,50228,10000,210369,1,4131266,1,256,fft,,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
9,53268,10000,751999,200,50195,10000,214715,1,4147791,1,256,fft,,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
0,182013,10000,2044838,69,173295,10000,282829,1,12024048,1,256,fft,,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
1,182074,10000,2046610,70,173281,10000,394126,1,4552885,1,256,fft,,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
2,182094,10000,2056718,70,173268,10000,386786,1,4082222,1,256,fft,,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
3,182104,10000,2045158,71,173249,10000,366665,1,5212594,1,256,fft,,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
4,182130,10000,2049745,71,173282,10000,382509,1,6140259,1,256,fft,,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
5,182143,10000,2053408,71,173267,10000,373115,1,4668290,1,256,fft,,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
6,182152,10000,2050927,71,173266,10000,371973,1,4709182,1,256,fft,,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
7,182172,10000,2048716,70,173267,10000,374266,1,5920616,1,256,fft,,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
8,182174,10000,2054071,71,173273,10000,388498,1,6496028,1,256,fft,,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
9,182183,10000,2043298,71,173258,10000,374928,1,4043103,1,256,fft,,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
0,669872,10000,2254831,63,672050,10000,530704,1,304472284,1,256,fft,,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
1,670081,10000,2245663,65,672073,10000,915737,1,7622243,1,256,fft,,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
2,670272,10000,2254296,65,672072,10000,928806,1,4629791,1,256,fft,,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
3,670369,10000,2244513,65,672038,10000,935958,1,5029887,1,256,fft,,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
4,670402,10000,2251280,64,672075,10000,936358,1,5257452,1,256,fft,,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
5,670398,10000,2249239,65,672097,10000,917860,1,5618888,1,256,fft,,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
6,670373,10000,2250263,65,672136,10000,929447,1,108686741,1,256,fft,,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
7,670446,10000,2258352,64,672061,10000,923328,1,5154275,1,256,fft,,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
8,670432,10000,2247600,64,672050,10000,937360,1,5424795,1,256,fft,,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
9,670432,10000,2251120,64,672057,10000,922127,1,8262753,1,256,fft,,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
