,Kernel,Kernel_iterations,block_size,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,4014,373514,64,block-per-shift,64,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,3929,381570,128,block-per-shift,128,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,4385,342470,256,block-per-shift,256,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,5485,273507,512,block-per-shift,512,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,4984,301136,64,block-per-shift,64,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,4981,301192,128,block-per-shift,128,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,6088,246391,256,block-per-shift,256,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,8632,173698,512,block-per-shift,512,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,7118,210745,64,block-per-shift,64,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,7270,206433,128,block-per-shift,128,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,8996,166740,256,block-per-shift,256,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,13517,110958,512,block-per-shift,512,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,17471,85870,64,block-per-shift,64,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,17642,85022,128,block-per-shift,128,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,21841,68664,256,block-per-shift,256,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,31706,47314,512,block-per-shift,512,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,40588,36953,64,block-per-shift,64,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,41924,35768,128,block-per-shift,128,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,49640,30220,256,block-per-shift,256,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,66732,22475,512,block-per-shift,512,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,168267,8900,64,block-per-shift,64,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,173642,8627,128,block-per-shift,128,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,190955,7840,256,block-per-shift,256,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,228696,6551,512,block-per-shift,512,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,503180,2980,64,block-per-shift,64,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,513819,2917,128,block-per-shift,128,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,545023,2751,256,block-per-shift,256,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,610599,2456,512,block-per-shift,512,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,2538026,596,64,block-per-shift,64,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,2546047,595,128,block-per-shift,128,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,2641198,573,256,block-per-shift,256,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,2804333,539,512,block-per-shift,512,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,8138976,187,64,block-per-shift,64,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,8137942,186,128,block-per-shift,128,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,8368314,181,256,block-per-shift,256,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,8721727,173,512,block-per-shift,512,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
