,Kernel,Kernel_iterations,warps_per_thread_block,shifts_per_thread,left_rows_per_iteration,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,18871,79482,4,1,1,basic-multirow_both,4_1_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,15286,98127,4,1,2,basic-multirow_both,4_1_2,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,17048,88004,4,1,4,basic-multirow_both,4_1_4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,14906,100642,4,1,8,basic-multirow_both,4_1_8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,21038,71307,4,2,1,basic-multirow_both,4_2_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,14689,102108,4,2,2,basic-multirow_both,4_2_2,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,18390,81570,4,2,4,basic-multirow_both,4_2_4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,16779,89391,4,2,8,basic-multirow_both,4_2_8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,23351,64242,4,4,1,basic-multirow_both,4_4_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,27232,55080,4,4,2,basic-multirow_both,4_4_2,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,22593,66391,4,4,4,basic-multirow_both,4_4_4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,16780,89390,4,4,8,basic-multirow_both,4_4_8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,28572,52492,4,8,1,basic-multirow_both,4_8_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,27243,55054,4,8,2,basic-multirow_both,4_8_2,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,23379,64159,4,8,4,basic-multirow_both,4_8_4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,26244,57158,4,8,8,basic-multirow_both,4_8_8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,18812,79696,8,1,1,basic-multirow_both,8_1_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,15647,95860,8,1,2,basic-multirow_both,8_1_2,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,16995,88260,8,1,4,basic-multirow_both,8_1_4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,15810,95424,8,1,8,basic-multirow_both,8_1_8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,21516,69716,8,2,1,basic-multirow_both,8_2_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,15685,95859,8,2,2,basic-multirow_both,8_2_2,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,19566,76580,8,2,4,basic-multirow_both,8_2_4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,17777,84395,8,2,8,basic-multirow_both,8_2_8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,22973,65295,8,4,1,basic-multirow_both,8_4_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,26718,56117,8,4,2,basic-multirow_both,8_4_2,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,22404,66919,8,4,4,basic-multirow_both,8_4_4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,17501,85708,8,4,8,basic-multirow_both,8_4_8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,28651,52360,8,8,1,basic-multirow_both,8_8_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,27404,54723,8,8,2,basic-multirow_both,8_8_2,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,23451,63960,8,8,4,basic-multirow_both,8_8_4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,26545,56445,8,8,8,basic-multirow_both,8_8_8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,30510,49165,4,1,1,basic-multirow_both,4_1_1,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,22967,65315,4,1,2,basic-multirow_both,4_1_2,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,24769,60565,4,1,4,basic-multirow_both,4_1_4,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,20355,73696,4,1,8,basic-multirow_both,4_1_8,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,33630,44599,4,2,1,basic-multirow_both,4_2_1,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,22462,66780,4,2,2,basic-multirow_both,4_2_2,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,27384,54779,4,2,4,basic-multirow_both,4_2_4,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,23341,64262,4,2,8,basic-multirow_both,4_2_8,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,32328,46398,4,4,1,basic-multirow_both,4_4_1,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,39041,38420,4,4,2,basic-multirow_both,4_4_2,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,31802,47169,4,4,4,basic-multirow_both,4_4_4,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,20847,71986,4,4,8,basic-multirow_both,4_4_8,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
