,Kernel,Kernel_iterations,warps_per_thread_block,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,18799,7962,4,basic,4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
1,18797,7962,4,basic,4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
2,18797,7966,4,basic,4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
3,18798,7962,4,basic,4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
4,18798,7957,4,basic,4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
5,18798,7962,4,basic,4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
6,18798,7966,4,basic,4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
7,18798,7962,4,basic,4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
8,18796,7962,4,basic,4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
9,18798,7957,4,basic,4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
0,18611,8036,8,basic,8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
1,18609,8045,8,basic,8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
2,18610,8045,8,basic,8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
3,18611,8045,8,basic,8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
4,18610,8045,8,basic,8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
5,18610,8040,8,basic,8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
6,18610,8045,8,basic,8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
7,18612,8040,8,basic,8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
8,18612,8045,8,basic,8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
9,18611,8045,8,basic,8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
0,30400,4931,4,basic,4,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one_saturated
1,30382,4934,4,basic,4,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one_saturated
2,30383,4931,4,basic,4,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one_saturated
3,30398,4936,4,basic,4,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one_saturated
4,30405,4928,4,basic,4,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one_saturated
5,30405,4933,4,basic,4,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one_saturated
6,30392,4928,4,basic,4,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one_saturated
7,30375,4931,4,basic,4,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one_saturated
8,30370,4933,4,basic,4,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one_saturated
9,30375,4933,4,basic,4,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one_saturated
0,30371,4931,8,basic,8,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one_saturated
1,30368,4933,8,basic,8,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one_saturated
2,30368,4934,8,basic,8,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one_saturated
3,30368,4933,8,basic,8,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one_saturated
4,30371,4933,8,basic,8,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one_saturated
5,30371,4933,8,basic,8,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one_saturated
6,30379,4931,8,basic,8,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one_saturated
7,30371,4933,8,basic,8,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one_saturated
8,30374,4931,8,basic,8,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one_saturated
9,30374,4933,8,basic,8,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one_saturated
0,39876,3760,4,basic,4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one_saturated
1,39873,3758,4,basic,4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one_saturated
2,39875,3757,4,basic,4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one_saturated
3,39876,3759,4,basic,4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one_saturated
