,Forward FFT,Forward FFT_iterations,Hadamard,Hadamard_iterations,Inverse FFT,Inverse FFT_iterations,Allocation,Allocation_iterations,Plan,Plan_iterations,hadamard_threads_per_block,hadamard_items_per_thread,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,5354,293822,2924,512470,5043,312021,72279,1,738085623,1,256,10,fft,,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,5354,293778,2923,512112,4962,317045,8683,1,4520041,1,256,10,fft,,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,5354,293782,2909,515540,5043,312052,8312,1,3544354,1,256,10,fft,,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,5354,293743,2918,513819,5043,312009,7842,1,4357685,1,256,10,fft,,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,5354,293754,2921,515337,5044,311993,8282,1,4257033,1,256,10,fft,,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,5354,293757,2911,516027,5029,312905,7942,1,5215343,1,256,10,fft,,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,5354,293758,2932,512323,5043,312029,7872,1,5094290,1,256,10,fft,,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,5354,293777,2909,516011,5043,312050,8633,1,4943552,1,256,10,fft,,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,5354,293781,2917,513530,5042,312095,8352,1,6210229,1,256,10,fft,,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,5354,293772,2905,515514,5043,312057,8163,1,5402966,1,256,10,fft,,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,5410,290742,3558,420727,4968,316583,75725,1,12883889,1,256,10,fft,,16_16_8_8,4096,16,16,256,8,8,8x8,n_to_m
1,5411,290705,3559,421417,4977,316246,8814,1,4205554,1,256,10,fft,,16_16_8_8,4096,16,16,256,8,8,8x8,n_to_m
2,5411,290678,3555,421843,5037,312333,8152,1,3720250,1,256,10,fft,,16_16_8_8,4096,16,16,256,8,8,8x8,n_to_m
3,5410,290683,3560,421297,4967,316729,7241,1,4251785,1,256,10,fft,,16_16_8_8,4096,16,16,256,8,8,8x8,n_to_m
4,5410,290701,3555,421140,5116,307602,7201,1,4176862,1,256,10,fft,,16_16_8_8,4096,16,16,256,8,8,8x8,n_to_m
5,5410,290665,3528,425812,5034,312957,104549,1,3709674,1,256,10,fft,,16_16_8_8,4096,16,16,256,8,8,8x8,n_to_m
6,5516,285089,3523,426096,5004,314843,8723,1,4011161,1,256,10,fft,,16_16_8_8,4096,16,16,256,8,8,8x8,n_to_m
7,5410,290650,3506,427880,5029,313218,8623,1,4074246,1,256,10,fft,,16_16_8_8,4096,16,16,256,8,8,8x8,n_to_m
8,5517,284878,3523,426174,5115,307606,8944,1,3799100,1,256,10,fft,,16_16_8_8,4096,16,16,256,8,8,8x8,n_to_m
9,5410,290657,3518,425717,5116,307585,8463,1,4140687,1,256,10,fft,,16_16_8_8,4096,16,16,256,8,8,8x8,n_to_m
0,4670,337126,3202,468421,4665,337518,75705,1,13485128,1,256,10,fft,,32_32_2_2,4096,32,32,1024,2,2,2x2,n_to_m
1,4670,337073,3202,468466,4669,337146,8683,1,4090791,1,256,10,fft,,32_32_2_2,4096,32,32,1024,2,2,2x2,n_to_m
2,4669,337093,3202,468436,4654,338078,8092,1,4106155,1,256,10,fft,,32_32_2_2,4096,32,32,1024,2,2,2x2,n_to_m
3,4670,337048,3202,468466,4669,337128,7942,1,4636907,1,256,10,fft,,32_32_2_2,4096,32,32,1024,2,2,2x2,n_to_m
4,4670,337112,3202,468433,4670,337105,8133,1,4159755,1,256,10,fft,,32_32_2_2,4096,32,32,1024,2,2,2x2,n_to_m
5,4670,337141,3202,468479,4669,337139,7662,1,4589305,1,256,10,fft,,32_32_2_2,4096,32,32,1024,2,2,2x2,n_to_m
6,4669,337129,3202,468436,4652,338237,7822,1,4224474,1,256,10,fft,,32_32_2_2,4096,32,32,1024,2,2,2x2,n_to_m
7,4670,337081,3202,468391,4670,337153,7832,1,4246106,1,256,10,fft,,32_32_2_2,4096,32,32,1024,2,2,2x2,n_to_m
8,4670,337069,3202,468466,4669,337118,7932,1,4358977,1,256,10,fft,,32_32_2_2,4096,32,32,1024,2,2,2x2,n_to_m
9,4670,337084,3202,468454,4667,337341,7982,1,4082959,1,256,10,fft,,32_32_2_2,4096,32,32,1024,2,2,2x2,n_to_m
0,5568,282479,4309,346799,10432,150370,179201,1,12799962,1,256,10,fft,,16_16_32_32,16384,16,16,256,32,32,32x32,n_to_m
1,5568,282485,4320,346193,10446,150139,183227,1,3938901,1,256,10,fft,,16_16_32_32,16384,16,16,256,32,32,32x32,n_to_m
2,5567,282489,4301,347688,10472,149837,176638,1,3874474,1,256,10,fft,,16_16_32_32,16384,16,16,256,32,32,32x32,n_to_m
3,5566,282503,4370,341966,10510,149245,188505,1,4361391,1,256,10,fft,,16_16_32_32,16384,16,16,256,32,32,32x32,n_to_m
4,5567,282446,4298,347820,10447,150119,186022,1,4304755,1,256,10,fft,,16_16_32_32,16384,16,16,256,32,32,32x32,n_to_m
5,5567,282534,4311,346726,10463,149921,182966,1,4057460,1,256,10,fft,,16_16_32_32,16384,16,16,256,32,32,32x32,n_to_m
6,5567,282456,4317,346152,10566,148442,184630,1,4164743,1,256,10,fft,,16_16_32_32,16384,16,16,256,32,32,32x32,n_to_m
7,5566,282502,4295,348093,10460,149940,184219,1,4360018,1,256,10,fft,,16_16_32_32,16384,16,16,256,32,32,32x32,n_to_m
8,5567,282483,4313,346972,10508,149743,189607,1,4327310,1,256,10,fft,,16_16_32_32,16384,16,16,256,32,32,32x32,n_to_m
9,5567,282445,4310,346758,10459,149939,181695,1,4019623,1,256,10,fft,,16_16_32_32,16384,16,16,256,32,32,32x32,n_to_m
0,4671,336981,3659,409488,5309,296306,131389,1,12382320,1,256,10,fft,,32_32_8_8,16384,32,32,1024,8,8,8x8,n_to_m
1,4672,336887,3677,407762,5325,295401,134123,1,4451817,1,256,10,fft,,32_32_8_8,16384,32,32,1024,8,8,8x8,n_to_m
2,4671,336925,3653,410574,5303,296610,154944,1,4209902,1,256,10,fft,,32_32_8_8,16384,32,32,1024,8,8,8x8,n_to_m
3,4673,336867,3675,407941,5283,297755,162917,1,4403154,1,256,10,fft,,32_32_8_8,16384,32,32,1024,8,8,8x8,n_to_m
4,4672,336929,3643,411762,5327,295285,153102,1,4247328,1,256,10,fft,,32_32_8_8,16384,32,32,1024,8,8,8x8,n_to_m
5,4671,336907,3648,411163,5322,295583,156597,1,4046064,1,256,10,fft,,32_32_8_8,16384,32,32,1024,8,8,8x8,n_to_m
6,4704,334468,3657,410229,5330,295165,152791,1,4350615,1,256,10,fft,,32_32_8_8,16384,32,32,1024,8,8,8x8,n_to_m
7,4671,336951,3673,408353,5325,295419,157658,1,4081347,1,256,10,fft,,32_32_8_8,16384,32,32,1024,8,8,8x8,n_to_m
8,4672,336893,3626,413623,5324,295478,155866,1,3987284,1,256,10,fft,,32_32_8_8,16384,32,32,1024,8,8,8x8,n_to_m
9,4672,336900,3628,413285,5329,295156,164989,1,4361241,1,256,10,fft,,32_32_8_8,16384,32,32,1024,8,8,8x8,n_to_m
0,5833,269937,3550,422438,5784,271669,79080,1,14841223,1,256,10,fft,,64_64_2_2,16384,64,64,4096,2,2,2x2,n_to_m
1,5872,267748,3550,422401,5862,268311,8142,1,4844993,1,256,10,fft,,64_64_2_2,16384,64,64,4096,2,2,2x2,n_to_m
2,5887,267058,3550,422415,5757,273102,9444,1,5316357,1,256,10,fft,,64_64_2_2,16384,64,64,4096,2,2,2x2,n_to_m
3,5887,267082,3550,422417,5850,268707,105750,1,4603918,1,256,10,fft,,64_64_2_2,16384,64,64,4096,2,2,2x2,n_to_m
4,5887,267094,3550,422453,5750,273363,9084,1,5108121,1,256,10,fft,,64_64_2_2,16384,64,64,4096,2,2,2x2,n_to_m
5,5887,267086,3550,422440,5886,267106,9946,1,5444590,1,256,10,fft,,64_64_2_2,16384,64,64,4096,2,2,2x2,n_to_m
6,5937,264876,3551,422379,5868,267878,9264,1,4517397,1,256,10,fft,,64_64_2_2,16384,64,64,4096,2,2,2x2,n_to_m
7,5938,264950,3550,422426,5834,269529,9374,1,5298319,1,256,10,fft,,64_64_2_2,16384,64,64,4096,2,2,2x2,n_to_m
8,5888,266999,3551,422337,5842,269113,8814,1,5123705,1,256,10,fft,,64_64_2_2,16384,64,64,4096,2,2,2x2,n_to_m
9,5885,267170,3551,422377,5871,267692,9124,1,4980928,1,256,10,fft,,64_64_2_2,16384,64,64,4096,2,2,2x2,n_to_m
0,5302,296609,11310,141238,24897,60070,277480,1,12119473,1,256,10,fft,,32_32_32_32,65536,32,32,1024,32,32,32x32,n_to_m
1,5298,296711,11324,141779,24930,60008,257019,1,4232286,1,256,10,fft,,32_32_32_32,65536,32,32,1024,32,32,32x32,n_to_m
2,5295,296650,11255,142809,24947,60009,253364,1,4168459,1,256,10,fft,,32_32_32_32,65536,32,32,1024,32,32,32x32,n_to_m
3,5295,297078,11285,141505,24959,60069,255116,1,4087096,1,256,10,fft,,32_32_32_32,65536,32,32,1024,32,32,32x32,n_to_m
