,Kernel,Kernel_iterations,warps_per_thread_block,shifts_per_thread_right_matrix,left_matrices_per_thread,right_matrices_per_thread,left_rows_per_iteration,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,56977070312,1,4,1,1,1,1,multimat-both-multirow-both,4_1_1_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,12070,124258,4,1,1,1,1,multimat-both-multirow-both,4_1_1_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,12071,124262,4,1,1,1,1,multimat-both-multirow-both,4_1_1_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,12070,124265,4,1,1,1,1,multimat-both-multirow-both,4_1_1_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,12070,124265,4,1,1,1,1,multimat-both-multirow-both,4_1_1_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,12070,124276,4,1,1,1,1,multimat-both-multirow-both,4_1_1_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,12071,124247,4,1,1,1,1,multimat-both-multirow-both,4_1_1_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,12071,124252,4,1,1,1,1,multimat-both-multirow-both,4_1_1_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,12070,124247,4,1,1,1,1,multimat-both-multirow-both,4_1_1_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,12070,124272,4,1,1,1,1,multimat-both-multirow-both,4_1_1_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,9043,165875,4,1,1,1,2,multimat-both-multirow-both,4_1_1_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,9043,165883,4,1,1,1,2,multimat-both-multirow-both,4_1_1_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,9043,165876,4,1,1,1,2,multimat-both-multirow-both,4_1_1_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,9042,165870,4,1,1,1,2,multimat-both-multirow-both,4_1_1_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,9042,165872,4,1,1,1,2,multimat-both-multirow-both,4_1_1_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,9042,165881,4,1,1,1,2,multimat-both-multirow-both,4_1_1_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,9042,165879,4,1,1,1,2,multimat-both-multirow-both,4_1_1_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,9042,165868,4,1,1,1,2,multimat-both-multirow-both,4_1_1_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,9042,165873,4,1,1,1,2,multimat-both-multirow-both,4_1_1_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,9043,165878,4,1,1,1,2,multimat-both-multirow-both,4_1_1_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,9217,162681,4,1,1,1,4,multimat-both-multirow-both,4_1_1_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,9217,162698,4,1,1,1,4,multimat-both-multirow-both,4_1_1_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,9221,162710,4,1,1,1,4,multimat-both-multirow-both,4_1_1_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,9217,162696,4,1,1,1,4,multimat-both-multirow-both,4_1_1_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,9222,162708,4,1,1,1,4,multimat-both-multirow-both,4_1_1_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,9217,162683,4,1,1,1,4,multimat-both-multirow-both,4_1_1_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,9217,162692,4,1,1,1,4,multimat-both-multirow-both,4_1_1_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,9220,162718,4,1,1,1,4,multimat-both-multirow-both,4_1_1_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,9217,162705,4,1,1,1,4,multimat-both-multirow-both,4_1_1_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,9217,162711,4,1,1,1,4,multimat-both-multirow-both,4_1_1_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,15293,98094,4,2,1,1,1,multimat-both-multirow-both,4_1_1_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,15291,98079,4,2,1,1,1,multimat-both-multirow-both,4_1_1_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,15291,98098,4,2,1,1,1,multimat-both-multirow-both,4_1_1_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,15292,98087,4,2,1,1,1,multimat-both-multirow-both,4_1_1_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,15292,98089,4,2,1,1,1,multimat-both-multirow-both,4_1_1_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,15292,98099,4,2,1,1,1,multimat-both-multirow-both,4_1_1_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,15293,98090,4,2,1,1,1,multimat-both-multirow-both,4_1_1_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,15290,98097,4,2,1,1,1,multimat-both-multirow-both,4_1_1_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,15290,98097,4,2,1,1,1,multimat-both-multirow-both,4_1_1_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
