,Kernel,Kernel_iterations,warps_per_thread_block,left_matrices_per_thread,right_matrices_per_thread,rows_per_thread,distribution_type,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,3130,478282,4,1,1,1,rectangle,multimat-both-work-distribution,4_1_1_1_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,3130,480403,4,1,1,1,rectangle,multimat-both-work-distribution,4_1_1_1_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,3131,480088,4,1,1,1,rectangle,multimat-both-work-distribution,4_1_1_1_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,3132,480124,4,1,1,1,rectangle,multimat-both-work-distribution,4_1_1_1_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,3130,480230,4,1,1,1,rectangle,multimat-both-work-distribution,4_1_1_1_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,3131,480234,4,1,1,1,rectangle,multimat-both-work-distribution,4_1_1_1_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,3131,480515,4,1,1,1,rectangle,multimat-both-work-distribution,4_1_1_1_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,3130,479915,4,1,1,1,rectangle,multimat-both-work-distribution,4_1_1_1_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,3130,479964,4,1,1,1,rectangle,multimat-both-work-distribution,4_1_1_1_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,3130,479966,4,1,1,1,rectangle,multimat-both-work-distribution,4_1_1_1_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,2828,530072,4,1,1,1,triangle,multimat-both-work-distribution,4_1_1_1_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,2829,530088,4,1,1,1,triangle,multimat-both-work-distribution,4_1_1_1_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,2829,530088,4,1,1,1,triangle,multimat-both-work-distribution,4_1_1_1_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,2829,530126,4,1,1,1,triangle,multimat-both-work-distribution,4_1_1_1_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
