,Forward FFT,Forward FFT_iterations,Hadamard,Hadamard_iterations,Inverse FFT,Inverse FFT_iterations,Allocation,Allocation_iterations,Plan,Plan_iterations,hadamard_threads_per_block,hadamard_items_per_thread,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,6212,253020,85112,20056,239612,10000,366084,1,12446358,1,256,10,fft,,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,6215,252902,85433,19850,241957,10000,345693,1,3918150,1,256,10,fft,,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,6213,252969,85894,19869,235864,10000,344041,1,3994436,1,256,10,fft,,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,6213,252950,85648,19823,237054,10000,349589,1,4214809,1,256,10,fft,,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,6213,252951,84952,20232,235254,10000,349278,1,4072955,1,256,10,fft,,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,6214,252910,85673,20088,236877,10000,337351,1,4269802,1,256,10,fft,,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,6213,252954,85564,20049,236891,10000,337251,1,3839571,1,256,10,fft,,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,6215,252880,85514,20050,239424,10000,351742,1,4136732,1,256,10,fft,,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
8,6214,252875,85556,20091,240764,10000,342318,1,4042579,1,256,10,fft,,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
9,6214,252895,86136,20306,237597,10000,344682,1,4182320,1,256,10,fft,,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
0,9871,158603,357035,4382,1351199,10000,545986,1,38915489,1,256,10,fft,,32_32_128_128,262144,32,32,1024,128,128,128x128,n_to_m_saturated
1,9889,158383,356661,4377,1350699,10000,732699,1,4950102,1,256,10,fft,,32_32_128_128,262144,32,32,1024,128,128,128x128,n_to_m_saturated
2,9885,158466,355718,4376,1350617,10000,744737,1,4855408,1,256,10,fft,,32_32_128_128,262144,32,32,1024,128,128,128x128,n_to_m_saturated
3,9868,159021,356443,4381,1350735,10000,738047,1,4357525,1,256,10,fft,,32_32_128_128,262144,32,32,1024,128,128,128x128,n_to_m_saturated
4,9869,158611,355179,4377,1350773,10000,747061,1,5463849,1,256,10,fft,,32_32_128_128,262144,32,32,1024,128,128,128x128,n_to_m_saturated
5,9867,158980,354392,4389,1350480,10000,742574,1,4662967,1,256,10,fft,,32_32_128_128,262144,32,32,1024,128,128,128x128,n_to_m_saturated
6,9868,158993,354216,4382,1352326,10000,738418,1,4640113,1,256,10,fft,,32_32_128_128,262144,32,32,1024,128,128,128x128,n_to_m_saturated
7,9890,158596,355532,4386,1350461,10000,736405,1,4445168,1,256,10,fft,,32_32_128_128,262144,32,32,1024,128,128,128x128,n_to_m_saturated
8,9867,158990,355314,4390,1350717,10000,749084,1,5348715,1,256,10,fft,,32_32_128_128,262144,32,32,1024,128,128,128x128,n_to_m_saturated
9,9887,158663,356129,4373,1350425,10000,731857,1,4975431,1,256,10,fft,,32_32_128_128,262144,32,32,1024,128,128,128x128,n_to_m_saturated
0,26085,60716,1476218,1124,5386487,10000,1323964,1,14414626,1,256,10,fft,,64_64_128_128,1048576,64,64,4096,128,128,128x128,n_to_m_saturated
1,25963,60900,1451853,1124,5391714,10000,1449123,1,5599905,1,256,10,fft,,64_64_128_128,1048576,64,64,4096,128,128,128x128,n_to_m_saturated
2,25977,60948,1433597,1124,5384823,10000,2160520,1,5166569,1,256,10,fft,,64_64_128_128,1048576,64,64,4096,128,128,128x128,n_to_m_saturated
3,25897,61047,1434125,1124,5387086,10000,2231356,1,6581541,1,256,10,fft,,64_64_128_128,1048576,64,64,4096,128,128,128x128,n_to_m_saturated
4,25916,60992,1451073,1125,5384014,10000,2211817,1,6052230,1,256,10,fft,,64_64_128_128,1048576,64,64,4096,128,128,128x128,n_to_m_saturated
5,25912,60958,1450352,1124,5384216,10000,2243315,1,5928442,1,256,10,fft,,64_64_128_128,1048576,64,64,4096,128,128,128x128,n_to_m_saturated
6,25877,61062,1449084,1125,5386963,10000,2165447,1,6928426,1,256,10,fft,,64_64_128_128,1048576,64,64,4096,128,128,128x128,n_to_m_saturated
7,25864,61166,1444042,1124,5384389,10000,2239459,1,5947451,1,256,10,fft,,64_64_128_128,1048576,64,64,4096,128,128,128x128,n_to_m_saturated
8,25900,61052,1429633,1124,5391020,10000,2219849,1,5391780,1,256,10,fft,,64_64_128_128,1048576,64,64,4096,128,128,128x128,n_to_m_saturated
9,25862,61235,1448983,1124,5386188,10000,2245568,1,5594427,1,256,10,fft,,64_64_128_128,1048576,64,64,4096,128,128,128x128,n_to_m_saturated
