,Kernel,Kernel_iterations,warps_per_thread_block,right_matrices_per_thread,rows_per_thread,distribution_type,num_cuda_streams,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,18558,8015,4,1,1,none,20,multimat-right,4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,18554,8049,4,1,1,none,20,multimat-right,4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,18598,7942,4,1,1,none,20,multimat-right,4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,18595,8026,4,1,1,none,20,multimat-right,4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,18562,8043,4,1,1,none,20,multimat-right,4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,18590,8039,4,1,1,none,20,multimat-right,4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,18606,8048,4,1,1,none,20,multimat-right,4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,18587,8015,4,1,1,none,20,multimat-right,4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,18568,8027,4,1,1,none,20,multimat-right,4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,18584,8060,4,1,1,none,20,multimat-right,4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,19197,7785,4,2,1,none,20,multimat-right,4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,19237,7784,4,2,1,none,20,multimat-right,4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,19271,7750,4,2,1,none,20,multimat-right,4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,19266,7760,4,2,1,none,20,multimat-right,4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,19239,7788,4,2,1,none,20,multimat-right,4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,19261,7783,4,2,1,none,20,multimat-right,4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,19285,7730,4,2,1,none,20,multimat-right,4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,19263,7766,4,2,1,none,20,multimat-right,4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,19235,7776,4,2,1,none,20,multimat-right,4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,19256,7788,4,2,1,none,20,multimat-right,4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,21690,6887,4,4,1,none,20,multimat-right,4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,21706,6884,4,4,1,none,20,multimat-right,4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,21749,6857,4,4,1,none,20,multimat-right,4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,21751,6890,4,4,1,none,20,multimat-right,4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,21733,6892,4,4,1,none,20,multimat-right,4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,21755,6849,4,4,1,none,20,multimat-right,4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,21763,6872,4,4,1,none,20,multimat-right,4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,21748,6877,4,4,1,none,20,multimat-right,4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,21737,6907,4,4,1,none,20,multimat-right,4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,21746,6892,4,4,1,none,20,multimat-right,4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,21840,6832,4,8,1,none,20,multimat-right,4_8,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,21885,6852,4,8,1,none,20,multimat-right,4_8,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,21898,6785,4,8,1,none,20,multimat-right,4_8,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,21879,6835,4,8,1,none,20,multimat-right,4_8,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,21898,6847,4,8,1,none,20,multimat-right,4_8,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,21878,6846,4,8,1,none,20,multimat-right,4_8,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,21903,6846,4,8,1,none,20,multimat-right,4_8,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
