,Kernel,Kernel_iterations,warps_per_thread_block,right_matrices_per_thread,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,11851,126562,4,1,multimat-right,4_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,12954,115785,4,2,multimat-right,4_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,14089,106456,4,4,multimat-right,4_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,13749,109082,4,8,multimat-right,4_8,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,13185,113757,8,1,multimat-right,8_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,15050,99687,8,2,multimat-right,8_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,15842,94686,8,4,multimat-right,8_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,15620,96103,8,8,multimat-right,8_8,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,11883,126211,4,1,multimat-right,4_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,12913,116156,4,2,multimat-right,4_2,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,15334,97819,4,4,multimat-right,4_4,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,25620,58548,4,8,multimat-right,4_8,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,13232,113356,8,1,multimat-right,8_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,15038,99733,8,2,multimat-right,8_2,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,19868,75495,8,4,multimat-right,8_4,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,32500,46148,8,8,multimat-right,8_8,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,24931,60162,4,1,multimat-right,4_1,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,27824,53909,4,2,multimat-right,4_2,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,30825,48662,4,4,multimat-right,4_4,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,29511,50828,4,8,multimat-right,4_8,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,29118,51514,8,1,multimat-right,8_1,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,34036,44072,8,2,multimat-right,8_2,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,35014,42839,8,4,multimat-right,8_4,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
