,Kernel,Kernel_iterations,shifts_per_thread_block,shared_mem_row_size,shared_mem_rows,strided_load,column_group_per_block,right_matrices_per_block,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,4398,341083,8,32,8,0,0,1,warp-per-shift-shared-memory,8_32_False_False_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,4866,308188,8,32,8,0,0,2,warp-per-shift-shared-memory,8_32_False_False_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,4812,311630,8,32,8,0,0,4,warp-per-shift-shared-memory,8_32_False_False_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,4814,311530,8,32,8,0,0,8,warp-per-shift-shared-memory,8_32_False_False_8,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,5992,250303,8,32,8,0,1,1,warp-per-shift-shared-memory,8_32_False_True_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,6456,232314,8,32,8,0,1,2,warp-per-shift-shared-memory,8_32_False_True_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,6386,234876,8,32,8,0,1,4,warp-per-shift-shared-memory,8_32_False_True_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,6370,235506,8,32,8,0,1,8,warp-per-shift-shared-memory,8_32_False_True_8,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,3775,397287,8,32,8,1,0,1,warp-per-shift-shared-memory,8_32_True_False_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,4086,367019,8,32,8,1,0,2,warp-per-shift-shared-memory,8_32_True_False_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,4087,366957,8,32,8,1,0,4,warp-per-shift-shared-memory,8_32_True_False_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,4086,367102,8,32,8,1,0,8,warp-per-shift-shared-memory,8_32_True_False_8,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,5367,279419,8,32,8,1,1,1,warp-per-shift-shared-memory,8_32_True_True_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,5677,264155,8,32,8,1,1,2,warp-per-shift-shared-memory,8_32_True_True_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,5677,264193,8,32,8,1,1,4,warp-per-shift-shared-memory,8_32_True_True_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,5676,264249,8,32,8,1,1,8,warp-per-shift-shared-memory,8_32_True_True_8,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,4398,341096,8,128,8,0,0,1,warp-per-shift-shared-memory,8_128_False_False_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,4866,308194,8,128,8,0,0,2,warp-per-shift-shared-memory,8_128_False_False_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,4811,311723,8,128,8,0,0,4,warp-per-shift-shared-memory,8_128_False_False_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,4805,312096,8,128,8,0,0,8,warp-per-shift-shared-memory,8_128_False_False_8,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,5992,250300,8,128,8,0,1,1,warp-per-shift-shared-memory,8_128_False_True_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,6456,232305,8,128,8,0,1,2,warp-per-shift-shared-memory,8_128_False_True_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,6379,235041,8,128,8,0,1,4,warp-per-shift-shared-memory,8_128_False_True_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,6362,235677,8,128,8,0,1,8,warp-per-shift-shared-memory,8_128_False_True_8,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,3775,397268,8,128,8,1,0,1,warp-per-shift-shared-memory,8_128_True_False_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,4086,367029,8,128,8,1,0,2,warp-per-shift-shared-memory,8_128_True_False_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,4087,366973,8,128,8,1,0,4,warp-per-shift-shared-memory,8_128_True_False_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,4086,367066,8,128,8,1,0,8,warp-per-shift-shared-memory,8_128_True_False_8,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
