,Forward FFT,Forward FFT_iterations,Hadamard,Hadamard_iterations,Inverse FFT,Inverse FFT_iterations,Allocation,Allocation_iterations,Plan,Plan_iterations,hadamard_threads_per_block,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,28926,10000,543818,276,27097,10000,230379,1,13048260,1,256,fft,,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
1,28822,10000,543799,276,27107,10000,213273,1,3902727,1,256,fft,,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
2,28905,10000,543758,276,27100,10000,216418,1,3655563,1,256,fft,,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
3,28822,10000,543854,276,27106,10000,216487,1,4719123,1,256,fft,,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
4,28906,10000,543866,276,27117,10000,218020,1,3853613,1,256,fft,,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
5,28823,10000,543980,276,27124,10000,220434,1,7469305,1,256,fft,,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
6,28910,10000,543899,276,27118,10000,214094,1,3865080,1,256,fft,,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
7,28825,10000,543732,276,27121,10000,213303,1,3889447,1,256,fft,,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
8,28905,10000,543744,276,27109,10000,215116,1,3808985,1,256,fft,,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
9,28823,10000,543847,276,27113,10000,212371,1,3765500,1,256,fft,,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
0,211835,10000,563600,265,225031,10000,331762,1,13304017,1,256,fft,,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
1,211849,10000,562612,265,225011,10000,352714,1,4687615,1,256,fft,,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
2,211895,10000,562522,266,225057,10000,347706,1,10274231,1,256,fft,,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
3,211946,10000,562608,265,225057,10000,358012,1,4114198,1,256,fft,,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
4,211964,10000,562546,265,225058,10000,348498,1,6510073,1,256,fft,,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
5,212032,10000,562594,264,225013,10000,345853,1,4585801,1,256,fft,,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
6,212048,10000,562694,263,225011,10000,346274,1,7069730,1,256,fft,,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
7,212070,10000,562556,264,225057,10000,347115,1,4372077,1,256,fft,,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
8,212100,10000,562592,263,225060,10000,341848,1,4890352,1,256,fft,,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
9,212091,10000,563485,262,224986,10000,346345,1,7467683,1,256,fft,,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
0,1316335,10000,1346672,100,1312543,10000,8035843,1,55773863,1,256,fft,,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
