,Kernel,Kernel_iterations,block_size,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,2718,551711,64,block-per-shift,64,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,2564,584792,128,block-per-shift,128,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,2590,579196,256,block-per-shift,256,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,3382,443500,512,block-per-shift,512,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,3563,421150,64,block-per-shift,64,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,3261,459600,128,block-per-shift,128,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,3862,388090,256,block-per-shift,256,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,5281,284019,512,block-per-shift,512,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,4881,305992,64,block-per-shift,64,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,4595,326530,128,block-per-shift,128,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,5557,269903,256,block-per-shift,256,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,8199,182923,512,block-per-shift,512,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,9502,160335,64,block-per-shift,64,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,10041,154112,128,block-per-shift,128,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,12731,120269,256,block-per-shift,256,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,18329,82571,512,block-per-shift,512,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,22865,69649,64,block-per-shift,64,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,24872,64845,128,block-per-shift,128,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,29762,54001,256,block-per-shift,256,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,38662,40106,512,block-per-shift,512,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,101673,10000,64,block-per-shift,64,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,106812,10000,128,block-per-shift,128,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,116582,10000,256,block-per-shift,256,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,138914,10000,512,block-per-shift,512,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,343484,6458,64,block-per-shift,64,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,361409,6232,128,block-per-shift,128,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,363024,5960,256,block-per-shift,256,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,393477,5201,512,block-per-shift,512,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,1978959,890,64,block-per-shift,64,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,2146783,841,128,block-per-shift,128,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,2212236,780,256,block-per-shift,256,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,2373812,745,512,block-per-shift,512,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,6879083,242,64,block-per-shift,64,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,7395867,224,128,block-per-shift,128,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,7585467,215,256,block-per-shift,256,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,8104568,207,512,block-per-shift,512,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
