,Forward FFT,Forward FFT_iterations,Hadamard,Hadamard_iterations,Inverse FFT,Inverse FFT_iterations,Allocation,Allocation_iterations,Plan,Plan_iterations,hadamard_threads_per_block,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,5130,30670,1614,92817,4657,33865,75183,1,12771933,1,256,fft,,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
1,5159,30533,1614,92908,4752,33129,100072,1,4148940,1,256,fft,,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
2,5205,30229,1614,92789,4752,33132,98419,1,4474293,1,256,fft,,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
3,5205,30227,1614,92836,4652,33849,96636,1,4686114,1,256,fft,,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
4,5180,30431,1614,92788,4752,33131,105580,1,4956132,1,256,fft,,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
5,5204,30227,1614,92748,4625,34013,96867,1,4682328,1,256,fft,,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
6,5154,30565,1614,92771,4602,34207,97348,1,4257234,1,256,fft,,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
7,5158,30531,1615,92714,4752,33132,97027,1,3856929,1,256,fft,,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
8,5205,30226,1614,92841,4752,33129,97378,1,3542813,1,256,fft,,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
9,5204,30225,1614,92793,4752,33133,105970,1,4578891,1,256,fft,,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,4751,33129,1631,91950,4752,33126,74253,1,459311009,1,256,fft,,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
1,4751,33120,1642,91719,4752,33125,103026,1,5601448,1,256,fft,,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
2,4751,33120,1641,91897,4752,33126,107784,1,4730861,1,256,fft,,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
3,4751,33119,1643,91423,4752,33123,99311,1,4117262,1,256,fft,,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
4,4751,33118,1642,91737,4752,33124,106260,1,4546062,1,256,fft,,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
5,4751,33116,1641,91892,4833,32554,99401,1,4490908,1,256,fft,,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
6,4751,33121,1632,91923,4867,32332,103296,1,4943774,1,256,fft,,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
7,4751,33121,1631,91984,4752,33123,100031,1,4375933,1,256,fft,,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
8,4751,33117,1642,91576,4833,32583,100543,1,4580133,1,256,fft,,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
9,4751,33120,1631,91944,4752,33124,101974,1,4320140,1,256,fft,,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,4521,34829,1651,91121,4315,36483,76686,1,12738011,1,256,fft,,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
1,4585,34444,1651,91143,4329,36358,103376,1,4533412,1,256,fft,,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
2,4528,34783,1652,91023,4342,36325,99891,1,4363254,1,256,fft,,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
3,4527,34796,1651,90962,4301,36569,101243,1,4668287,1,256,fft,,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
