,Kernel,Kernel_iterations,warps_per_thread_block,shifts_per_thread,left_rows_per_iteration,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,11973,125215,4,1,1,basic-multirow_both,4_1_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,8936,167852,4,1,2,basic-multirow_both,4_1_2,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,9302,161144,4,1,4,basic-multirow_both,4_1_4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,9684,154856,4,1,8,basic-multirow_both,4_1_8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,13917,107776,4,2,1,basic-multirow_both,4_2_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,10596,141555,4,2,2,basic-multirow_both,4_2_2,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,11921,125811,4,2,4,basic-multirow_both,4_2_4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,10592,141601,4,2,8,basic-multirow_both,4_2_8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,24754,60598,4,4,1,basic-multirow_both,4_4_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,13632,110027,4,4,2,basic-multirow_both,4_4_2,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,13258,113090,4,4,4,basic-multirow_both,4_4_4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,11230,133551,4,4,8,basic-multirow_both,4_4_8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,16980,88343,4,8,1,basic-multirow_both,4_8_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,16099,93160,4,8,2,basic-multirow_both,4_8_2,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,14216,105498,4,8,4,basic-multirow_both,4_8_4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,15812,94855,4,8,8,basic-multirow_both,4_8_8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,13130,114232,8,1,1,basic-multirow_both,8_1_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,11240,133431,8,1,2,basic-multirow_both,8_1_2,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,11301,132758,8,1,4,basic-multirow_both,8_1_4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,12119,123770,8,1,8,basic-multirow_both,8_1_8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,14411,104091,8,2,1,basic-multirow_both,8_2_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,11384,131735,8,2,2,basic-multirow_both,8_2_2,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,12398,120985,8,2,4,basic-multirow_both,8_2_4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,11631,128980,8,2,8,basic-multirow_both,8_2_8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,24649,60852,8,4,1,basic-multirow_both,8_4_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,14052,106743,8,4,2,basic-multirow_both,8_4_2,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,13434,111653,8,4,4,basic-multirow_both,8_4_4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,12301,121934,8,4,8,basic-multirow_both,8_4_8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,17032,88077,8,8,1,basic-multirow_both,8_8_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,16119,93058,8,8,2,basic-multirow_both,8_8_2,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,14300,104903,8,8,4,basic-multirow_both,8_8_4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,15888,94415,8,8,8,basic-multirow_both,8_8_8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,19545,76745,4,1,1,basic-multirow_both,4_1_1,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
