,Kernel,Kernel_iterations,shifts_per_thread_block,rows_per_warp,distribution_type,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,5031,298072,4,1,rectangle,warp-per-shift-work-distribution,4_1_rectangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,4589,326799,4,1,triangle,warp-per-shift-work-distribution,4_1_triangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,3510,426035,4,8,rectangle,warp-per-shift-work-distribution,4_8_rectangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,3680,407501,4,8,triangle,warp-per-shift-work-distribution,4_8_triangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,3684,407421,4,16,rectangle,warp-per-shift-work-distribution,4_16_rectangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,3699,405404,4,16,triangle,warp-per-shift-work-distribution,4_16_triangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,4853,308870,16,1,rectangle,warp-per-shift-work-distribution,16_1_rectangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,4585,327091,16,1,triangle,warp-per-shift-work-distribution,16_1_triangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,3411,439564,16,8,rectangle,warp-per-shift-work-distribution,16_8_rectangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,3546,422913,16,8,triangle,warp-per-shift-work-distribution,16_8_triangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,3685,407059,16,16,rectangle,warp-per-shift-work-distribution,16_16_rectangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,3807,392949,16,16,triangle,warp-per-shift-work-distribution,16_16_triangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,5899,254260,32,1,rectangle,warp-per-shift-work-distribution,32_1_rectangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,5162,290488,32,1,triangle,warp-per-shift-work-distribution,32_1_triangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,3719,404430,32,8,rectangle,warp-per-shift-work-distribution,32_8_rectangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,3978,377013,32,8,triangle,warp-per-shift-work-distribution,32_8_triangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,3979,376935,32,16,rectangle,warp-per-shift-work-distribution,32_16_rectangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,4270,351247,32,16,triangle,warp-per-shift-work-distribution,32_16_triangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,10833,138464,4,1,rectangle,warp-per-shift-work-distribution,4_1_rectangle,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,9162,163883,4,1,triangle,warp-per-shift-work-distribution,4_1_triangle,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,4864,308317,4,8,rectangle,warp-per-shift-work-distribution,4_8_rectangle,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,4981,301000,4,8,triangle,warp-per-shift-work-distribution,4_8_triangle,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,4662,321663,4,16,rectangle,warp-per-shift-work-distribution,4_16_rectangle,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,4760,314885,4,16,triangle,warp-per-shift-work-distribution,4_16_triangle,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,9521,157631,16,1,rectangle,warp-per-shift-work-distribution,16_1_rectangle,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,9359,160407,16,1,triangle,warp-per-shift-work-distribution,16_1_triangle,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,5057,296396,16,8,rectangle,warp-per-shift-work-distribution,16_8_rectangle,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,4766,314561,16,8,triangle,warp-per-shift-work-distribution,16_8_triangle,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,4629,323708,16,16,rectangle,warp-per-shift-work-distribution,16_16_rectangle,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,4916,304884,16,16,triangle,warp-per-shift-work-distribution,16_16_triangle,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,15002,99977,32,1,rectangle,warp-per-shift-work-distribution,32_1_rectangle,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,13718,109334,32,1,triangle,warp-per-shift-work-distribution,32_1_triangle,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,5865,255577,32,8,rectangle,warp-per-shift-work-distribution,32_8_rectangle,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,5936,252495,32,8,triangle,warp-per-shift-work-distribution,32_8_triangle,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,5273,284287,32,16,rectangle,warp-per-shift-work-distribution,32_16_rectangle,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,5202,288146,32,16,triangle,warp-per-shift-work-distribution,32_16_triangle,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,21059,71067,4,1,rectangle,warp-per-shift-work-distribution,4_1_rectangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,17365,87707,4,1,triangle,warp-per-shift-work-distribution,4_1_triangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
