,Kernel,Kernel_iterations,shifts_per_thread_block,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,2538,589356,4,warp-per-shift,4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,2403,626350,16,warp-per-shift,16,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,2659,563679,32,warp-per-shift,32,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,3093,484872,4,warp-per-shift,4,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,3107,482794,16,warp-per-shift,16,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,3384,443114,32,warp-per-shift,32,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,4040,371082,4,warp-per-shift,4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,4040,371338,16,warp-per-shift,16,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,4387,341817,32,warp-per-shift,32,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,8302,181223,4,warp-per-shift,4,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,10848,137829,16,warp-per-shift,16,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,9617,155295,32,warp-per-shift,32,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,20045,76558,4,warp-per-shift,4,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,21719,70060,16,warp-per-shift,16,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,19770,78168,32,warp-per-shift,32,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,91162,17339,4,warp-per-shift,4,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,90239,17567,16,warp-per-shift,16,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,92367,17233,32,warp-per-shift,32,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,287204,7350,4,warp-per-shift,4,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,272131,7260,16,warp-per-shift,16,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,274782,7190,32,warp-per-shift,32,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,1643298,1184,4,warp-per-shift,4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,1441645,1317,16,warp-per-shift,16,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,1416228,1197,32,warp-per-shift,32,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,5870439,276,4,warp-per-shift,4,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,4688222,342,16,warp-per-shift,16,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,4604551,348,32,warp-per-shift,32,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
