,Kernel,Kernel_iterations,warps_per_thread_block,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,11811,10000,4,basic,4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
1,11810,10000,4,basic,4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
2,11809,10000,4,basic,4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
3,11810,10000,4,basic,4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
4,11811,10000,4,basic,4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
5,11811,10000,4,basic,4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
6,11810,10000,4,basic,4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
7,11811,10000,4,basic,4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
8,11811,10000,4,basic,4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
9,11810,10000,4,basic,4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
0,12970,10000,8,basic,8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
1,12970,10000,8,basic,8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
2,12971,10000,8,basic,8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
3,12972,10000,8,basic,8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
4,12971,10000,8,basic,8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
5,12971,10000,8,basic,8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
6,12971,10000,8,basic,8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
7,12972,10000,8,basic,8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
8,12970,10000,8,basic,8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
9,12970,10000,8,basic,8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
0,18913,7919,4,basic,4,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one_saturated
1,18921,7919,4,basic,4,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one_saturated
2,18923,7914,4,basic,4,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one_saturated
3,18922,7919,4,basic,4,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one_saturated
4,18924,7918,4,basic,4,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one_saturated
5,18922,7920,4,basic,4,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one_saturated
6,18924,7919,4,basic,4,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one_saturated
7,18922,7914,4,basic,4,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one_saturated
8,18921,7919,4,basic,4,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one_saturated
9,18922,7919,4,basic,4,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one_saturated
0,21832,6865,8,basic,8,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one_saturated
1,21831,6862,8,basic,8,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one_saturated
2,21830,6865,8,basic,8,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one_saturated
3,21832,6865,8,basic,8,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one_saturated
4,21832,6865,8,basic,8,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one_saturated
5,21830,6865,8,basic,8,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one_saturated
6,21830,6868,8,basic,8,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one_saturated
7,21830,6865,8,basic,8,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one_saturated
8,21829,6864,8,basic,8,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one_saturated
9,21832,6865,8,basic,8,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one_saturated
0,25077,5979,4,basic,4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one_saturated
1,25076,5977,4,basic,4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one_saturated
2,25077,5979,4,basic,4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one_saturated
3,25075,5977,4,basic,4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one_saturated
4,25077,5977,4,basic,4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one_saturated
5,25073,5972,4,basic,4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one_saturated
6,25064,5979,4,basic,4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one_saturated
7,25067,5979,4,basic,4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one_saturated
8,25064,5980,4,basic,4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one_saturated
9,25077,5974,4,basic,4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one_saturated
0,28593,5242,8,basic,8,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one_saturated
1,28635,5234,8,basic,8,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one_saturated
2,28640,5237,8,basic,8,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one_saturated
3,28636,5234,8,basic,8,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one_saturated
4,28636,5236,8,basic,8,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one_saturated
5,28635,5236,8,basic,8,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one_saturated
6,28631,5236,8,basic,8,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one_saturated
7,28632,5232,8,basic,8,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one_saturated
8,28634,5237,8,basic,8,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one_saturated
9,28631,5236,8,basic,8,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one_saturated
0,61150,2453,4,basic,4,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one_saturated
1,61079,2455,4,basic,4,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one_saturated
2,60846,2465,4,basic,4,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one_saturated
