,Kernel,Kernel_iterations,warps_per_thread_block,shifts_per_thread,left_rows_per_iteration,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,589525,255,4,1,1,basic-multirow_both,4_1_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
1,588470,255,4,1,1,basic-multirow_both,4_1_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
2,588194,255,4,1,1,basic-multirow_both,4_1_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
3,588392,256,4,1,1,basic-multirow_both,4_1_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
4,588406,255,4,1,1,basic-multirow_both,4_1_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
5,588145,255,4,1,1,basic-multirow_both,4_1_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
6,588226,255,4,1,1,basic-multirow_both,4_1_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
7,588381,255,4,1,1,basic-multirow_both,4_1_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
8,588163,256,4,1,1,basic-multirow_both,4_1_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
9,588124,255,4,1,1,basic-multirow_both,4_1_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
0,592279,254,4,1,2,basic-multirow_both,4_1_2,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
1,592565,254,4,1,2,basic-multirow_both,4_1_2,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
2,592532,254,4,1,2,basic-multirow_both,4_1_2,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
3,592472,254,4,1,2,basic-multirow_both,4_1_2,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
4,592512,254,4,1,2,basic-multirow_both,4_1_2,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
5,592435,254,4,1,2,basic-multirow_both,4_1_2,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
6,592581,254,4,1,2,basic-multirow_both,4_1_2,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
7,592315,254,4,1,2,basic-multirow_both,4_1_2,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
8,592392,254,4,1,2,basic-multirow_both,4_1_2,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
9,592662,254,4,1,2,basic-multirow_both,4_1_2,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
0,589736,255,4,1,4,basic-multirow_both,4_1_4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
1,590397,255,4,1,4,basic-multirow_both,4_1_4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
2,589703,255,4,1,4,basic-multirow_both,4_1_4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
3,589832,255,4,1,4,basic-multirow_both,4_1_4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
4,589908,255,4,1,4,basic-multirow_both,4_1_4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
5,589664,255,4,1,4,basic-multirow_both,4_1_4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
6,589695,255,4,1,4,basic-multirow_both,4_1_4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
7,589662,255,4,1,4,basic-multirow_both,4_1_4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
8,589747,255,4,1,4,basic-multirow_both,4_1_4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
9,589763,255,4,1,4,basic-multirow_both,4_1_4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
0,588815,255,4,1,8,basic-multirow_both,4_1_8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
1,589539,255,4,1,8,basic-multirow_both,4_1_8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
2,588490,255,4,1,8,basic-multirow_both,4_1_8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
3,588353,255,4,1,8,basic-multirow_both,4_1_8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
4,588326,255,4,1,8,basic-multirow_both,4_1_8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
5,588314,255,4,1,8,basic-multirow_both,4_1_8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
6,588366,255,4,1,8,basic-multirow_both,4_1_8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
7,588540,255,4,1,8,basic-multirow_both,4_1_8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
8,588387,256,4,1,8,basic-multirow_both,4_1_8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
9,588277,255,4,1,8,basic-multirow_both,4_1_8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
0,419041,359,4,2,1,basic-multirow_both,4_2_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
1,419759,358,4,2,1,basic-multirow_both,4_2_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
2,421522,356,4,2,1,basic-multirow_both,4_2_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
3,421595,356,4,2,1,basic-multirow_both,4_2_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
4,424246,356,4,2,1,basic-multirow_both,4_2_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
5,426813,353,4,2,1,basic-multirow_both,4_2_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
6,421647,354,4,2,1,basic-multirow_both,4_2_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
7,422712,356,4,2,1,basic-multirow_both,4_2_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
8,421573,355,4,2,1,basic-multirow_both,4_2_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
9,423748,356,4,2,1,basic-multirow_both,4_2_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
0,379697,396,4,2,2,basic-multirow_both,4_2_2,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
1,381590,394,4,2,2,basic-multirow_both,4_2_2,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
2,381757,394,4,2,2,basic-multirow_both,4_2_2,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
3,381529,393,4,2,2,basic-multirow_both,4_2_2,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
4,382255,394,4,2,2,basic-multirow_both,4_2_2,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
5,383483,393,4,2,2,basic-multirow_both,4_2_2,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
6,382474,392,4,2,2,basic-multirow_both,4_2_2,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
7,382452,393,4,2,2,basic-multirow_both,4_2_2,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
8,383076,393,4,2,2,basic-multirow_both,4_2_2,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
9,382926,393,4,2,2,basic-multirow_both,4_2_2,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
0,367093,408,4,2,4,basic-multirow_both,4_2_4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
1,368801,407,4,2,4,basic-multirow_both,4_2_4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
2,368702,407,4,2,4,basic-multirow_both,4_2_4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
3,368868,407,4,2,4,basic-multirow_both,4_2_4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
4,368911,407,4,2,4,basic-multirow_both,4_2_4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
5,368889,407,4,2,4,basic-multirow_both,4_2_4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
6,368939,407,4,2,4,basic-multirow_both,4_2_4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
7,369480,407,4,2,4,basic-multirow_both,4_2_4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
8,368843,407,4,2,4,basic-multirow_both,4_2_4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
9,368926,407,4,2,4,basic-multirow_both,4_2_4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
0,375475,400,4,2,8,basic-multirow_both,4_2_8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
1,374947,400,4,2,8,basic-multirow_both,4_2_8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
2,374781,401,4,2,8,basic-multirow_both,4_2_8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
3,374814,401,4,2,8,basic-multirow_both,4_2_8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
4,377031,401,4,2,8,basic-multirow_both,4_2_8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
5,381668,394,4,2,8,basic-multirow_both,4_2_8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
6,379027,394,4,2,8,basic-multirow_both,4_2_8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
7,376811,398,4,2,8,basic-multirow_both,4_2_8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
8,375620,398,4,2,8,basic-multirow_both,4_2_8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
9,377932,399,4,2,8,basic-multirow_both,4_2_8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
0,335013,450,4,4,1,basic-multirow_both,4_4_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
1,335759,447,4,4,1,basic-multirow_both,4_4_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
2,336577,448,4,4,1,basic-multirow_both,4_4_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
3,336960,445,4,4,1,basic-multirow_both,4_4_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
4,337148,446,4,4,1,basic-multirow_both,4_4_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
5,337182,447,4,4,1,basic-multirow_both,4_4_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
6,337228,446,4,4,1,basic-multirow_both,4_4_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
7,337428,446,4,4,1,basic-multirow_both,4_4_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
8,337339,446,4,4,1,basic-multirow_both,4_4_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
9,337393,445,4,4,1,basic-multirow_both,4_4_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
0,279699,540,4,4,2,basic-multirow_both,4_4_2,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
