,Kernel,Kernel_iterations,warps_per_thread_block,left_matrices_per_thread,right_matrices_per_thread,rows_per_thread,distribution_type,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,4158,358826,4,1,1,1,rectangle,multimat-both-work-distribution,4_1_1_1_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,4154,360249,4,1,1,1,rectangle,multimat-both-work-distribution,4_1_1_1_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,4146,359727,4,1,1,1,rectangle,multimat-both-work-distribution,4_1_1_1_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,4144,359807,4,1,1,1,rectangle,multimat-both-work-distribution,4_1_1_1_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,4151,360347,4,1,1,1,rectangle,multimat-both-work-distribution,4_1_1_1_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,4152,359692,4,1,1,1,rectangle,multimat-both-work-distribution,4_1_1_1_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,4149,360143,4,1,1,1,rectangle,multimat-both-work-distribution,4_1_1_1_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,4154,360143,4,1,1,1,rectangle,multimat-both-work-distribution,4_1_1_1_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,4146,360427,4,1,1,1,rectangle,multimat-both-work-distribution,4_1_1_1_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,4158,358916,4,1,1,1,rectangle,multimat-both-work-distribution,4_1_1_1_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,4062,373065,4,1,1,1,triangle,multimat-both-work-distribution,4_1_1_1_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,4063,370126,4,1,1,1,triangle,multimat-both-work-distribution,4_1_1_1_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,4063,369967,4,1,1,1,triangle,multimat-both-work-distribution,4_1_1_1_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,4065,369230,4,1,1,1,triangle,multimat-both-work-distribution,4_1_1_1_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,4065,369109,4,1,1,1,triangle,multimat-both-work-distribution,4_1_1_1_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,4066,370032,4,1,1,1,triangle,multimat-both-work-distribution,4_1_1_1_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,4063,369939,4,1,1,1,triangle,multimat-both-work-distribution,4_1_1_1_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,4066,368802,4,1,1,1,triangle,multimat-both-work-distribution,4_1_1_1_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,4062,368960,4,1,1,1,triangle,multimat-both-work-distribution,4_1_1_1_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,4064,369967,4,1,1,1,triangle,multimat-both-work-distribution,4_1_1_1_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,5904,253474,4,1,1,4,rectangle,multimat-both-work-distribution,4_1_1_4_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,5904,253952,4,1,1,4,rectangle,multimat-both-work-distribution,4_1_1_4_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,5903,253877,4,1,1,4,rectangle,multimat-both-work-distribution,4_1_1_4_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,5908,253886,4,1,1,4,rectangle,multimat-both-work-distribution,4_1_1_4_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,5896,253776,4,1,1,4,rectangle,multimat-both-work-distribution,4_1_1_4_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,5907,254111,4,1,1,4,rectangle,multimat-both-work-distribution,4_1_1_4_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,5906,253965,4,1,1,4,rectangle,multimat-both-work-distribution,4_1_1_4_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,5909,253855,4,1,1,4,rectangle,multimat-both-work-distribution,4_1_1_4_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,5910,253776,4,1,1,4,rectangle,multimat-both-work-distribution,4_1_1_4_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,5908,254062,4,1,1,4,rectangle,multimat-both-work-distribution,4_1_1_4_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,6199,241430,4,1,1,4,triangle,multimat-both-work-distribution,4_1_1_4_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,6191,241928,4,1,1,4,triangle,multimat-both-work-distribution,4_1_1_4_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,6198,241696,4,1,1,4,triangle,multimat-both-work-distribution,4_1_1_4_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,6196,241513,4,1,1,4,triangle,multimat-both-work-distribution,4_1_1_4_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,6196,241656,4,1,1,4,triangle,multimat-both-work-distribution,4_1_1_4_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,6196,241493,4,1,1,4,triangle,multimat-both-work-distribution,4_1_1_4_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,6197,241568,4,1,1,4,triangle,multimat-both-work-distribution,4_1_1_4_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,6203,241517,4,1,1,4,triangle,multimat-both-work-distribution,4_1_1_4_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,6197,241704,4,1,1,4,triangle,multimat-both-work-distribution,4_1_1_4_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,6201,241632,4,1,1,4,triangle,multimat-both-work-distribution,4_1_1_4_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,9531,157633,4,1,1,8,rectangle,multimat-both-work-distribution,4_1_1_8_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,9512,157439,4,1,1,8,rectangle,multimat-both-work-distribution,4_1_1_8_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,9514,157719,4,1,1,8,rectangle,multimat-both-work-distribution,4_1_1_8_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,9512,157478,4,1,1,8,rectangle,multimat-both-work-distribution,4_1_1_8_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,9529,157483,4,1,1,8,rectangle,multimat-both-work-distribution,4_1_1_8_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,9511,157740,4,1,1,8,rectangle,multimat-both-work-distribution,4_1_1_8_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,9510,157551,4,1,1,8,rectangle,multimat-both-work-distribution,4_1_1_8_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,9512,157758,4,1,1,8,rectangle,multimat-both-work-distribution,4_1_1_8_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,9511,157765,4,1,1,8,rectangle,multimat-both-work-distribution,4_1_1_8_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,9512,157531,4,1,1,8,rectangle,multimat-both-work-distribution,4_1_1_8_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,9790,152989,4,1,1,8,triangle,multimat-both-work-distribution,4_1_1_8_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,9786,153008,4,1,1,8,triangle,multimat-both-work-distribution,4_1_1_8_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,9787,153019,4,1,1,8,triangle,multimat-both-work-distribution,4_1_1_8_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,9799,153060,4,1,1,8,triangle,multimat-both-work-distribution,4_1_1_8_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,9787,153153,4,1,1,8,triangle,multimat-both-work-distribution,4_1_1_8_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,9786,153091,4,1,1,8,triangle,multimat-both-work-distribution,4_1_1_8_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,9787,153088,4,1,1,8,triangle,multimat-both-work-distribution,4_1_1_8_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,9787,153089,4,1,1,8,triangle,multimat-both-work-distribution,4_1_1_8_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,9788,153220,4,1,1,8,triangle,multimat-both-work-distribution,4_1_1_8_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,9788,153195,4,1,1,8,triangle,multimat-both-work-distribution,4_1_1_8_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,16382,91488,4,1,1,16,rectangle,multimat-both-work-distribution,4_1_1_16_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,16388,91541,4,1,1,16,rectangle,multimat-both-work-distribution,4_1_1_16_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,16392,91490,4,1,1,16,rectangle,multimat-both-work-distribution,4_1_1_16_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,16390,91497,4,1,1,16,rectangle,multimat-both-work-distribution,4_1_1_16_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,16387,91492,4,1,1,16,rectangle,multimat-both-work-distribution,4_1_1_16_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,16384,91555,4,1,1,16,rectangle,multimat-both-work-distribution,4_1_1_16_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,16383,91558,4,1,1,16,rectangle,multimat-both-work-distribution,4_1_1_16_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,16384,91534,4,1,1,16,rectangle,multimat-both-work-distribution,4_1_1_16_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,16381,91573,4,1,1,16,rectangle,multimat-both-work-distribution,4_1_1_16_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,16384,91555,4,1,1,16,rectangle,multimat-both-work-distribution,4_1_1_16_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,16879,88838,4,1,1,16,triangle,multimat-both-work-distribution,4_1_1_16_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,16879,88817,4,1,1,16,triangle,multimat-both-work-distribution,4_1_1_16_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,16876,88837,4,1,1,16,triangle,multimat-both-work-distribution,4_1_1_16_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,16880,88858,4,1,1,16,triangle,multimat-both-work-distribution,4_1_1_16_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,16877,88841,4,1,1,16,triangle,multimat-both-work-distribution,4_1_1_16_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,16876,88807,4,1,1,16,triangle,multimat-both-work-distribution,4_1_1_16_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,16876,88841,4,1,1,16,triangle,multimat-both-work-distribution,4_1_1_16_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,16872,88811,4,1,1,16,triangle,multimat-both-work-distribution,4_1_1_16_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,16877,88850,4,1,1,16,triangle,multimat-both-work-distribution,4_1_1_16_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,16870,88880,4,1,1,16,triangle,multimat-both-work-distribution,4_1_1_16_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,4240,354113,4,1,2,1,rectangle,multimat-both-work-distribution,4_1_2_1_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,4245,353733,4,1,2,1,rectangle,multimat-both-work-distribution,4_1_2_1_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,4240,353879,4,1,2,1,rectangle,multimat-both-work-distribution,4_1_2_1_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
