,Kernel,Kernel_iterations,warps_per_thread_block,left_matrices_per_thread,right_matrices_per_thread,rows_per_thread,distribution_type,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
1,16933,76879,4,1,1,1,none,multimat-both,4_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,16827,89165,4,1,1,1,none,multimat-both,4_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,16823,89151,4,1,1,1,none,multimat-both,4_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,16827,89172,4,1,1,1,none,multimat-both,4_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,16827,89151,4,1,1,1,none,multimat-both,4_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,16831,89131,4,1,1,1,none,multimat-both,4_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,16825,89180,4,1,1,1,none,multimat-both,4_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,16826,89152,4,1,1,1,none,multimat-both,4_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,16819,89165,4,1,1,1,none,multimat-both,4_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,20593,72800,4,1,2,1,none,multimat-both,4_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,20600,72809,4,1,2,1,none,multimat-both,4_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,20596,72803,4,1,2,1,none,multimat-both,4_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,20603,72815,4,1,2,1,none,multimat-both,4_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,20601,72798,4,1,2,1,none,multimat-both,4_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,20599,72812,4,1,2,1,none,multimat-both,4_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,20596,72821,4,1,2,1,none,multimat-both,4_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,20595,72795,4,1,2,1,none,multimat-both,4_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,20592,72805,4,1,2,1,none,multimat-both,4_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,20594,72808,4,1,2,1,none,multimat-both,4_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,21124,70919,4,1,4,1,none,multimat-both,4_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,21123,70986,4,1,4,1,none,multimat-both,4_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,21121,71003,4,1,4,1,none,multimat-both,4_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,21121,70994,4,1,4,1,none,multimat-both,4_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,21121,70986,4,1,4,1,none,multimat-both,4_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,21122,70978,4,1,4,1,none,multimat-both,4_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,21127,70979,4,1,4,1,none,multimat-both,4_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,21130,70982,4,1,4,1,none,multimat-both,4_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,21122,70982,4,1,4,1,none,multimat-both,4_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,21127,70990,4,1,4,1,none,multimat-both,4_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,21761,68961,4,2,1,1,none,multimat-both,4_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,21754,68950,4,2,1,1,none,multimat-both,4_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,21752,68926,4,2,1,1,none,multimat-both,4_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,21753,68956,4,2,1,1,none,multimat-both,4_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,21748,68968,4,2,1,1,none,multimat-both,4_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,21751,68938,4,2,1,1,none,multimat-both,4_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,21752,68965,4,2,1,1,none,multimat-both,4_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,21753,68932,4,2,1,1,none,multimat-both,4_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,21758,68955,4,2,1,1,none,multimat-both,4_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,21754,68946,4,2,1,1,none,multimat-both,4_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,25426,58925,4,2,2,1,none,multimat-both,4_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,25426,58973,4,2,2,1,none,multimat-both,4_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,25425,58973,4,2,2,1,none,multimat-both,4_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,25427,58972,4,2,2,1,none,multimat-both,4_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,25426,58971,4,2,2,1,none,multimat-both,4_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,25426,58965,4,2,2,1,none,multimat-both,4_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,25427,58960,4,2,2,1,none,multimat-both,4_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,25428,58973,4,2,2,1,none,multimat-both,4_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,25427,58979,4,2,2,1,none,multimat-both,4_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,25426,58972,4,2,2,1,none,multimat-both,4_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,27340,54842,4,2,4,1,none,multimat-both,4_2_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,27340,54864,4,2,4,1,none,multimat-both,4_2_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,27341,54866,4,2,4,1,none,multimat-both,4_2_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
