,Kernel,Kernel_iterations,warps_per_thread_block,shifts_per_thread_right_matrix,right_matrices_per_thread,left_rows_per_iteration,num_cuda_streams,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,23982,6218,4,1,1,1,20,multimat-right-multirow-both,4_1_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,23965,6219,4,1,1,1,20,multimat-right-multirow-both,4_1_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,24063,6207,4,1,1,1,20,multimat-right-multirow-both,4_1_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,24003,6233,4,1,1,1,20,multimat-right-multirow-both,4_1_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,23986,6240,4,1,1,1,20,multimat-right-multirow-both,4_1_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,23938,6276,4,1,1,1,20,multimat-right-multirow-both,4_1_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,23957,6245,4,1,1,1,20,multimat-right-multirow-both,4_1_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,23934,6252,4,1,1,1,20,multimat-right-multirow-both,4_1_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,23983,6244,4,1,1,1,20,multimat-right-multirow-both,4_1_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,23948,6262,4,1,1,1,20,multimat-right-multirow-both,4_1_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,21072,7085,4,1,1,2,20,multimat-right-multirow-both,4_1_1_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,21041,7093,4,1,1,2,20,multimat-right-multirow-both,4_1_1_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,21161,6992,4,1,1,2,20,multimat-right-multirow-both,4_1_1_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,21103,7053,4,1,1,2,20,multimat-right-multirow-both,4_1_1_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,21111,7086,4,1,1,2,20,multimat-right-multirow-both,4_1_1_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,21065,7102,4,1,1,2,20,multimat-right-multirow-both,4_1_1_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,21096,7114,4,1,1,2,20,multimat-right-multirow-both,4_1_1_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,21075,7119,4,1,1,2,20,multimat-right-multirow-both,4_1_1_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,21131,7109,4,1,1,2,20,multimat-right-multirow-both,4_1_1_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,21067,7117,4,1,1,2,20,multimat-right-multirow-both,4_1_1_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,20502,7272,4,1,1,4,20,multimat-right-multirow-both,4_1_1_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,20494,7269,4,1,1,4,20,multimat-right-multirow-both,4_1_1_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,20507,7276,4,1,1,4,20,multimat-right-multirow-both,4_1_1_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
