,Kernel,Kernel_iterations,warps_per_thread_block,right_matrices_per_thread,rows_per_thread,distribution_type,num_cuda_streams,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,14698,9500,4,1,1,rectangle,20,multimat-right-work-distribution,4_1_1_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,14742,9778,4,1,1,rectangle,20,multimat-right-work-distribution,4_1_1_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,14765,10000,4,1,1,rectangle,20,multimat-right-work-distribution,4_1_1_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,14724,9938,4,1,1,rectangle,20,multimat-right-work-distribution,4_1_1_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,14653,10000,4,1,1,rectangle,20,multimat-right-work-distribution,4_1_1_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,14706,10000,4,1,1,rectangle,20,multimat-right-work-distribution,4_1_1_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,14695,10000,4,1,1,rectangle,20,multimat-right-work-distribution,4_1_1_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,14690,10000,4,1,1,rectangle,20,multimat-right-work-distribution,4_1_1_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,14693,10000,4,1,1,rectangle,20,multimat-right-work-distribution,4_1_1_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,14692,10000,4,1,1,rectangle,20,multimat-right-work-distribution,4_1_1_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,14443,9500,4,1,1,triangle,20,multimat-right-work-distribution,4_1_1_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,14479,10000,4,1,1,triangle,20,multimat-right-work-distribution,4_1_1_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,14452,10000,4,1,1,triangle,20,multimat-right-work-distribution,4_1_1_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,14451,10000,4,1,1,triangle,20,multimat-right-work-distribution,4_1_1_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,14398,10000,4,1,1,triangle,20,multimat-right-work-distribution,4_1_1_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,14490,10000,4,1,1,triangle,20,multimat-right-work-distribution,4_1_1_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,14468,10000,4,1,1,triangle,20,multimat-right-work-distribution,4_1_1_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,14481,10000,4,1,1,triangle,20,multimat-right-work-distribution,4_1_1_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,14436,10000,4,1,1,triangle,20,multimat-right-work-distribution,4_1_1_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,14481,10000,4,1,1,triangle,20,multimat-right-work-distribution,4_1_1_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,16294,8998,4,1,4,rectangle,20,multimat-right-work-distribution,4_1_4_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,16304,9018,4,1,4,rectangle,20,multimat-right-work-distribution,4_1_4_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,16355,8975,4,1,4,rectangle,20,multimat-right-work-distribution,4_1_4_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,16324,8756,4,1,4,rectangle,20,multimat-right-work-distribution,4_1_4_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,16279,9140,4,1,4,rectangle,20,multimat-right-work-distribution,4_1_4_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,16285,9045,4,1,4,rectangle,20,multimat-right-work-distribution,4_1_4_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,16350,9143,4,1,4,rectangle,20,multimat-right-work-distribution,4_1_4_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,16305,9201,4,1,4,rectangle,20,multimat-right-work-distribution,4_1_4_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
