,Kernel,Kernel_iterations,warps_per_thread_block,right_matrices_per_thread,rows_per_thread,distribution_type,num_cuda_streams,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,582473,258,4,1,1,none,20,multimat-right,4_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
1,582328,258,4,1,1,none,20,multimat-right,4_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
2,582200,258,4,1,1,none,20,multimat-right,4_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
3,582172,258,4,1,1,none,20,multimat-right,4_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
4,582120,258,4,1,1,none,20,multimat-right,4_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
5,582161,258,4,1,1,none,20,multimat-right,4_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
6,582268,258,4,1,1,none,20,multimat-right,4_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
7,582213,258,4,1,1,none,20,multimat-right,4_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
8,582243,258,4,1,1,none,20,multimat-right,4_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
9,582111,258,4,1,1,none,20,multimat-right,4_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
0,443470,339,4,2,1,none,20,multimat-right,4_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
1,443318,339,4,2,1,none,20,multimat-right,4_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
2,443173,339,4,2,1,none,20,multimat-right,4_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
3,443618,339,4,2,1,none,20,multimat-right,4_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
4,444840,339,4,2,1,none,20,multimat-right,4_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
5,446691,336,4,2,1,none,20,multimat-right,4_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
6,443529,339,4,2,1,none,20,multimat-right,4_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
7,443322,338,4,2,1,none,20,multimat-right,4_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
8,443465,339,4,2,1,none,20,multimat-right,4_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
9,443446,339,4,2,1,none,20,multimat-right,4_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
0,355083,423,4,4,1,none,20,multimat-right,4_4,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
1,354822,423,4,4,1,none,20,multimat-right,4_4,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
2,354475,424,4,4,1,none,20,multimat-right,4_4,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
3,354551,424,4,4,1,none,20,multimat-right,4_4,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
