,Kernel,Kernel_iterations,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,73869827,2,original,,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
1,65794387,3,original,,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
2,65679021,3,original,,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
3,65677652,3,original,,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
4,65797119,3,original,,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
5,65611434,3,original,,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
6,65759913,3,original,,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
7,65612798,3,original,,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
8,65752405,3,original,,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
9,65614166,3,original,,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
0,269066345,1,original,,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
1,197731201,1,original,,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
2,237314468,1,original,,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
3,194783966,1,original,,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
4,237745697,1,original,,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
5,194995330,1,original,,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
6,237486343,1,original,,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
7,194798721,1,original,,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
8,238001510,1,original,,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
9,194512603,1,original,,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
0,717665954,1,original,,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
1,655093139,1,original,,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
2,655184814,1,original,,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
3,655491699,1,original,,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
4,647048156,1,original,,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
5,654775146,1,original,,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
6,655218994,1,original,,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
7,654779418,1,original,,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
8,656151794,1,original,,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
9,655188476,1,original,,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
0,3700632080,1,original,,128_128_1_4000,65552384,128,128,16384,1,4000,1x4000,one_to_many_saturated
1,3689162597,1,original,,128_128_1_4000,65552384,128,128,16384,1,4000,1x4000,one_to_many_saturated
2,3788843505,1,original,,128_128_1_4000,65552384,128,128,16384,1,4000,1x4000,one_to_many_saturated
3,3684894531,1,original,,128_128_1_4000,65552384,128,128,16384,1,4000,1x4000,one_to_many_saturated
4,3710539550,1,original,,128_128_1_4000,65552384,128,128,16384,1,4000,1x4000,one_to_many_saturated
5,3704164550,1,original,,128_128_1_4000,65552384,128,128,16384,1,4000,1x4000,one_to_many_saturated
6,4097559082,1,original,,128_128_1_4000,65552384,128,128,16384,1,4000,1x4000,one_to_many_saturated
7,3732550292,1,original,,128_128_1_4000,65552384,128,128,16384,1,4000,1x4000,one_to_many_saturated
8,3803242919,1,original,,128_128_1_4000,65552384,128,128,16384,1,4000,1x4000,one_to_many_saturated
9,3529932861,1,original,,128_128_1_4000,65552384,128,128,16384,1,4000,1x4000,one_to_many_saturated
0,28971267578,1,original,,256_256_1_4000,262209536,256,256,65536,1,4000,1x4000,one_to_many_saturated
1,28227478515,1,original,,256_256_1_4000,262209536,256,256,65536,1,4000,1x4000,one_to_many_saturated
2,29632027343,1,original,,256_256_1_4000,262209536,256,256,65536,1,4000,1x4000,one_to_many_saturated
3,28909767578,1,original,,256_256_1_4000,262209536,256,256,65536,1,4000,1x4000,one_to_many_saturated
4,28742906250,1,original,,256_256_1_4000,262209536,256,256,65536,1,4000,1x4000,one_to_many_saturated
5,28490683593,1,original,,256_256_1_4000,262209536,256,256,65536,1,4000,1x4000,one_to_many_saturated
6,28742697265,1,original,,256_256_1_4000,262209536,256,256,65536,1,4000,1x4000,one_to_many_saturated
7,29969443359,1,original,,256_256_1_4000,262209536,256,256,65536,1,4000,1x4000,one_to_many_saturated
8,28596189453,1,original,,256_256_1_4000,262209536,256,256,65536,1,4000,1x4000,one_to_many_saturated
9,29916189453,1,original,,256_256_1_4000,262209536,256,256,65536,1,4000,1x4000,one_to_many_saturated
