,Kernel,Kernel_iterations,shifts_per_thread_block,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,7188,20851,4,warp-per-shift-simple-indexing,4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
1,6365,22944,4,warp-per-shift-simple-indexing,4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
2,6070,24702,4,warp-per-shift-simple-indexing,4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
3,6068,24697,4,warp-per-shift-simple-indexing,4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
4,6071,24710,4,warp-per-shift-simple-indexing,4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
5,6066,24701,4,warp-per-shift-simple-indexing,4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
6,6074,24709,4,warp-per-shift-simple-indexing,4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
7,6072,24692,4,warp-per-shift-simple-indexing,4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
8,6075,24689,4,warp-per-shift-simple-indexing,4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
9,6068,24687,4,warp-per-shift-simple-indexing,4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,7040,21323,16,warp-per-shift-simple-indexing,16,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
1,7030,21318,16,warp-per-shift-simple-indexing,16,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
2,7033,21333,16,warp-per-shift-simple-indexing,16,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
3,7035,21334,16,warp-per-shift-simple-indexing,16,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
4,7036,21325,16,warp-per-shift-simple-indexing,16,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
5,7036,21328,16,warp-per-shift-simple-indexing,16,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
6,7031,21318,16,warp-per-shift-simple-indexing,16,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
7,7036,21327,16,warp-per-shift-simple-indexing,16,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
8,7037,21322,16,warp-per-shift-simple-indexing,16,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
9,7037,21328,16,warp-per-shift-simple-indexing,16,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
