,Kernel,Kernel_iterations,shifts_per_thread_block,rows_per_warp,distribution_type,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,9830,152388,4,1,rectangle,warp-per-shift-work-distribution,4_1_rectangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,8696,172374,4,1,triangle,warp-per-shift-work-distribution,4_1_triangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,5246,285857,4,8,rectangle,warp-per-shift-work-distribution,4_8_rectangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,5434,275970,4,8,triangle,warp-per-shift-work-distribution,4_8_triangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,5372,279194,4,16,rectangle,warp-per-shift-work-distribution,4_16_rectangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,5635,265862,4,16,triangle,warp-per-shift-work-distribution,4_16_triangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,9265,161835,16,1,rectangle,warp-per-shift-work-distribution,16_1_rectangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,9206,162770,16,1,triangle,warp-per-shift-work-distribution,16_1_triangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,5529,271012,16,8,rectangle,warp-per-shift-work-distribution,16_8_rectangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,5641,265607,16,8,triangle,warp-per-shift-work-distribution,16_8_triangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,5245,285289,16,16,rectangle,warp-per-shift-work-distribution,16_16_rectangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,5493,272926,16,16,triangle,warp-per-shift-work-distribution,16_16_triangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,9888,151771,32,1,rectangle,warp-per-shift-work-distribution,32_1_rectangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,10223,146827,32,1,triangle,warp-per-shift-work-distribution,32_1_triangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,5448,274939,32,8,rectangle,warp-per-shift-work-distribution,32_8_rectangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,5894,255431,32,8,triangle,warp-per-shift-work-distribution,32_8_triangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,5835,257185,32,16,rectangle,warp-per-shift-work-distribution,32_16_rectangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,6241,240210,32,16,triangle,warp-per-shift-work-distribution,32_16_triangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
